feature,score
"['PPIACO', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.187170368
"['서울아파트매매가격지수', '정책금리', '통화량']",-1.191159121
"['서울아파트매매가격지수', '수출물가지수', 'KORPROINDMISMEI']",-1.193264234
"['PCE', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.197365949
"['PPIACO', '서울아파트매매가격지수', '자가주거비포함지수']",-1.198263073
"['서울아파트매매가격지수', 'KORPROINDMISMEI', '한국실업률']",-1.201809034
"['UMCSENT', '서울아파트매매가격지수', '자가주거비포함지수']",-1.219779035
"['UNRATENSA', 'CPIAUCSL', '서울아파트매매가격지수']",-1.220439082
"['서울아파트매매가격지수', '자가주거비', '한국실업률']",-1.2208079
"['BAA', 'TOTALSA', '수출물가지수']",-1.222578002
"['CPIAUCSL', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.223454755
"['NEWORDER', '서울아파트매매가격지수', '자가주거비포함지수']",-1.224376935
"['NEWORDER', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.227227525
"['서울아파트매매가격지수', '자가주거비포함지수', 'KORCPIALLMINMEI']",-1.229930556
"['서울아파트매매가격지수', 'AMBNS', '자가주거비']",-1.231764586
"['PCE', '서울아파트매매가격지수', '자가주거비포함지수']",-1.235916843
"['CPIAUCSL', '서울아파트매매가격지수', '자가주거비포함지수']",-1.240150936
"['PCE', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.241488838
"['UMCSENT', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.243812301
"['서울아파트매매가격지수', '자가주거비', 'KORCPIALLMINMEI']",-1.247191104
"['UNRATE', '서울아파트매매가격지수', '통화량']",-1.247419862
"['수출물가지수', 'GACDFSA066MSFRBPHI', 'KORPROINDMISMEI']",-1.251233264
"['PCE', 'UMCSENT', '서울아파트매매가격지수']",-1.262489041
"['TWEXBMTH', 'EXKOUS', 'IR3TCD01KRM156N']",-1.268608584
"['UNRATE', '서울아파트매매가격지수', '자가주거비포함지수']",-1.268772351
"['UMCSENT', '서울아파트매매가격지수', '자가주거비']",-1.269685572
"['서울아파트매매가격지수', '통화량', 'KORCPIALLMINMEI']",-1.271198672
"['PCE', '서울아파트매매가격지수', '한국실업률']",-1.272391452
"['BAA', 'TOTALSA', 'XTIMVA01KRM667S']",-1.272726609
"['PCE', 'PPIACO', '서울아파트매매가격지수']",-1.278467863
"['NEWORDER', '서울아파트매매가격지수', '자가주거비']",-1.28180106
"['CPIAUCSL', '서울아파트매매가격지수', 'KORCPIALLMINMEI']",-1.28249327
"['서울아파트매매가격지수', '자가주거비포함지수', '자가주거비']",-1.283083097
"['PCE', '서울아파트매매가격지수', '자가주거비']",-1.283468518
"['CPIAUCSL', '서울아파트매매가격지수', '자가주거비']",-1.288798041
"['PCE', '서울아파트매매가격지수', 'AMBNS']",-1.290485417
"['서울아파트매매가격지수', '자가주거비포함지수', '통화량']",-1.304213863
"['CPIAUCSL', 'UMCSENT', '서울아파트매매가격지수']",-1.305859841
"['PPIACO', '서울아파트매매가격지수', '통화량']",-1.308923908
"['BAA', 'TOTALSA', 'GACDFSA066MSFRBPHI']",-1.309698873
"['CPIAUCSL', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",-1.312510467
"['BAA', '수출물가지수', 'GACDFSA066MSFRBPHI']",-1.314469071
"['PCE', 'CPIAUCSL', '서울아파트매매가격지수']",-1.315438269
"['NEWORDER', 'PCE', '서울아파트매매가격지수']",-1.315531629
"['UMCSENT', 'EXKOUS', 'IR3TCD01KRM156N']",-1.316565052
"['서울아파트매매가격지수', '수출물가지수', '통화량']",-1.316651872
