DATE,Adj Close
2008-12-01,1162.109985
2009-01-01,1063.030029
2009-02-01,1206.26001
2009-03-01,1369.359985
2009-04-01,1395.890015
2009-05-01,1390.069946
2009-06-01,1557.290039
2009-07-01,1591.849976
2009-08-01,1673.140015
2009-09-01,1580.689941
2009-10-01,1555.599976
2009-11-01,1682.77002
2009-12-01,1602.430054
2010-01-01,1594.579956
2010-02-01,1692.849976
2010-03-01,1741.560059
2010-04-01,1641.25
2010-05-01,1698.290039
2010-06-01,1759.329956
2010-07-01,1742.75
2010-08-01,1872.810059
2010-09-01,1882.949951
2010-10-01,1904.630005
2010-11-01,2051
2010-12-01,2069.72998
2011-01-01,1939.300049
2011-02-01,2106.699951
2011-03-01,2192.360107
2011-04-01,2142.469971
2011-05-01,2100.689941
2011-06-01,2133.209961
2011-07-01,1880.109985
2011-08-01,1769.650024
2011-09-01,1909.030029
2011-10-01,1847.51001
2011-11-01,1825.73999
2011-12-01,1955.790039
2012-01-01,2030.25
2012-02-01,2014.040039
2012-03-01,1981.98999
2012-04-01,1843.469971
2012-05-01,1854.01001
2012-06-01,1881.98999
2012-07-01,1905.119995
2012-08-01,1996.209961
2012-09-01,1912.060059
2012-10-01,1932.900024
2012-11-01,1997.050049
2012-12-01,1961.939941
2013-01-01,2026.48999
2013-02-01,2004.890015
2013-03-01,1963.949951
2013-04-01,2001.050049
2013-05-01,1863.319946
2013-06-01,1914.030029
2013-07-01,1926.359985
2013-08-01,1996.959961
2013-09-01,2030.089966
2013-10-01,2044.869995
2013-11-01,2011.339966
2013-12-01,1941.150024
2014-01-01,1979.98999
2014-02-01,1985.609985
2014-03-01,1961.790039
2014-04-01,1994.959961
2014-05-01,2002.209961
2014-06-01,2076.120117
2014-07-01,2068.540039
2014-08-01,2020.089966
2014-09-01,1964.430054
2014-10-01,1980.780029
2014-11-01,1915.589966
2014-12-01,1949.26001
2015-01-01,1985.800049
2015-02-01,2041.030029
2015-03-01,2127.169922
2015-04-01,2114.800049
2015-05-01,2074.199951
2015-06-01,2030.160034
2015-07-01,1941.48999
2015-08-01,1962.810059
2015-09-01,2029.469971
2015-10-01,1991.969971
2015-11-01,1961.310059
2015-12-01,1912.060059
2016-01-01,1916.660034
2016-02-01,1995.849976
2016-03-01,1994.150024
2016-04-01,1983.400024
2016-05-01,1970.349976
2016-06-01,2016.189941
2016-07-01,2034.650024
2016-08-01,2043.630005
2016-09-01,2008.189941
2016-10-01,1983.47998
2016-11-01,2026.459961
2016-12-01,2067.570068
2017-01-01,2091.639893
2017-02-01,2160.22998
2017-03-01,2205.439941
2017-04-01,2347.379883
2017-05-01,2391.790039
2017-06-01,2402.709961
2017-07-01,2363.189941
2017-08-01,2394.469971
2017-09-01,2523.429932
2017-10-01,2476.370117
2017-11-01,2467.48999
2017-12-01,2566.459961
2018-01-01,2427.360107
2018-02-01,2445.850098
2018-03-01,2515.379883
2018-04-01,2423.01001
2018-05-01,2326.129883
2018-06-01,2295.26001
2018-07-01,2322.879883
2018-08-01,2343.070068
2018-09-01,2029.689941
2018-10-01,2096.860107
2018-11-01,2041.040039
2018-12-01,2204.850098
2019-01-01,2195.439941
2019-02-01,2140.669922
2019-03-01,2203.590088
2019-04-01,2041.73999
2019-05-01,2130.620117
