DATE,GACDFSA066MSFRBPHI
1987-03-01,5.50000
1987-04-01,14.40000
1987-05-01,19.70000
1987-06-01,13.00000
1987-07-01,15.50000
1987-08-01,30.10000
1987-09-01,26.30000
1987-10-01,27.20000
1987-11-01,11.80000
1987-12-01,29.60000
1988-01-01,3.50000
1988-02-01,18.30000
1988-03-01,12.80000
1988-04-01,26.80000
1988-05-01,17.80000
1988-06-01,17.40000
1988-07-01,23.70000
1988-08-01,15.20000
1988-09-01,25.60000
1988-10-01,27.20000
1988-11-01,27.20000
1988-12-01,22.70000
1989-01-01,28.20000
1989-02-01,20.10000
1989-03-01,18.20000
1989-04-01,4.10000
1989-05-01,-10.20000
1989-06-01,-7.60000
1989-07-01,-16.90000
1989-08-01,-9.40000
1989-09-01,-5.40000
1989-10-01,-6.90000
1989-11-01,-4.20000
1989-12-01,-2.10000
1990-01-01,-7.50000
1990-02-01,-22.00000
1990-03-01,-21.80000
1990-04-01,-9.00000
1990-05-01,-16.50000
1990-06-01,-8.60000
1990-07-01,-18.10000
1990-08-01,-18.10000
1990-09-01,-43.40000
1990-10-01,-48.20000
1990-11-01,-27.10000
1990-12-01,-37.10000
1991-01-01,-32.00000
1991-02-01,-22.00000
1991-03-01,-11.60000
1991-04-01,-6.50000
1991-05-01,3.90000
1991-06-01,13.00000
1991-07-01,19.90000
1991-08-01,27.00000
1991-09-01,20.00000
1991-10-01,9.50000
1991-11-01,1.30000
1991-12-01,-18.70000
1992-01-01,-2.20000
1992-02-01,0.60000
1992-03-01,15.00000
1992-04-01,20.10000
1992-05-01,17.00000
1992-06-01,15.00000
1992-07-01,27.80000
1992-08-01,16.70000
1992-09-01,21.00000
1992-10-01,-4.90000
1992-11-01,18.20000
1992-12-01,25.40000
1993-01-01,31.10000
1993-02-01,34.30000
1993-03-01,16.20000
1993-04-01,23.30000
1993-05-01,14.80000
1993-06-01,3.50000
1993-07-01,-3.20000
1993-08-01,-0.30000
1993-09-01,7.30000
1993-10-01,8.90000
1993-11-01,18.90000
1993-12-01,41.40000
1994-01-01,27.20000
1994-02-01,21.30000
1994-03-01,19.80000
1994-04-01,16.70000
1994-05-01,22.10000
1994-06-01,25.00000
1994-07-01,17.80000
1994-08-01,18.50000
1994-09-01,18.50000
1994-10-01,26.10000
1994-11-01,24.70000
1994-12-01,23.30000
1995-01-01,8.80000
1995-02-01,9.20000
1995-03-01,2.00000
1995-04-01,-11.10000
1995-05-01,-8.50000
1995-06-01,-20.80000
1995-07-01,-20.20000
1995-08-01,1.20000
1995-09-01,26.20000
1995-10-01,21.70000
1995-11-01,5.50000
1995-12-01,19.60000
1996-01-01,-14.70000
1996-02-01,4.80000
1996-03-01,-3.50000
1996-04-01,21.30000
1996-05-01,19.60000
1996-06-01,21.20000
1996-07-01,29.00000
1996-08-01,13.80000
1996-09-01,12.90000
1996-10-01,8.20000
1996-11-01,11.10000
1996-12-01,8.10000
1997-01-01,12.80000
1997-02-01,16.90000
1997-03-01,13.40000
1997-04-01,6.60000
1997-05-01,1.10000
1997-06-01,18.20000
1997-07-01,20.00000
1997-08-01,17.20000
1997-09-01,19.10000
1997-10-01,19.30000
1997-11-01,19.80000
1997-12-01,15.60000
1998-01-01,18.60000
1998-02-01,13.20000
1998-03-01,10.40000
1998-04-01,8.70000
1998-05-01,13.20000
1998-06-01,24.10000
1998-07-01,8.30000
1998-08-01,10.40000
1998-09-01,-14.20000
1998-10-01,3.50000
1998-11-01,-4.70000
1998-12-01,4.60000
1999-01-01,13.80000
1999-02-01,15.10000
1999-03-01,4.30000
1999-04-01,20.60000
1999-05-01,13.10000
1999-06-01,5.80000
1999-07-01,9.80000
1999-08-01,13.70000
1999-09-01,13.90000
1999-10-01,16.00000
1999-11-01,20.90000
1999-12-01,14.20000
2000-01-01,11.30000
2000-02-01,14.50000
2000-03-01,19.40000
2000-04-01,10.00000
2000-05-01,13.90000
2000-06-01,2.60000
2000-07-01,4.70000
2000-08-01,17.10000
2000-09-01,5.50000
2000-10-01,1.80000
2000-11-01,7.10000
2000-12-01,-7.80000
2001-01-01,-36.60000
2001-02-01,-29.40000
2001-03-01,-20.50000
2001-04-01,-10.70000
2001-05-01,-11.80000
2001-06-01,-7.00000
2001-07-01,-12.60000
2001-08-01,-18.10000
2001-09-01,-8.20000
2001-10-01,-23.60000
2001-11-01,-17.70000
2001-12-01,-11.00000
2002-01-01,10.50000
2002-02-01,11.10000
2002-03-01,12.20000
2002-04-01,12.60000
2002-05-01,10.10000
2002-06-01,20.40000
2002-07-01,5.90000
2002-08-01,-1.30000
2002-09-01,4.40000
2002-10-01,-7.60000
2002-11-01,7.40000
2002-12-01,7.20000
2003-01-01,5.50000
2003-02-01,-1.60000
2003-03-01,-3.90000
2003-04-01,-6.60000
2003-05-01,-0.60000
2003-06-01,3.70000
2003-07-01,7.70000
2003-08-01,20.30000
2003-09-01,21.00000
2003-10-01,28.10000
2003-11-01,26.90000
2003-12-01,26.50000
2004-01-01,36.10000
2004-02-01,28.00000
2004-03-01,29.60000
2004-04-01,32.20000
2004-05-01,29.10000
2004-06-01,30.60000
2004-07-01,34.70000
2004-08-01,25.10000
2004-09-01,19.70000
2004-10-01,26.80000
2004-11-01,19.20000
2004-12-01,25.50000
2005-01-01,13.30000
2005-02-01,21.30000
2005-03-01,15.10000
2005-04-01,25.30000
2005-05-01,9.30000
2005-06-01,-1.30000
2005-07-01,8.00000
2005-08-01,11.30000
2005-09-01,7.10000
2005-10-01,4.80000
2005-11-01,10.30000
2005-12-01,12.90000
