,feature,accuracy,precision,recall
3116,"['상품수지', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3158,"['상품수지', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3174,"['상품수지', 'GACDFSA066MSFRBPHI', 'XTIMVA01KRM667S']",0.815789474,1,0.125
3177,"['상품수지', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
3180,"['상품수지', 'GACDFSA066MSFRBPHI', '환율평균']",0.815789474,1,0.125
3297,"['BAA', 'NEWORDER', 'EXKOUS']",0.815789474,1,0.125
3302,"['BAA', 'NEWORDER', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3462,"['BAA', 'DGORDER', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3541,"['BAA', 'TCU', 'EXKOUS']",0.815789474,1,0.125
3553,"['BAA', 'TCU', '환율평균']",0.815789474,1,0.125
3592,"['BAA', 'PPIACO', 'EXKOUS']",0.815789474,1,0.125
3604,"['BAA', 'PPIACO', '환율평균']",0.815789474,1,0.125
3609,"['BAA', 'RMFSL', 'USSLIND']",0.815789474,1,0.125
3675,"['BAA', 'HSN1F', 'USSLIND']",0.815789474,1,0.125
3722,"['BAA', 'USSLIND', 'EXCHUS']",0.815789474,1,0.125
3726,"['BAA', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3757,"['BAA', 'UMCSENT', 'EXCHUS']",0.842105263,1,0.25
3761,"['BAA', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3777,"['BAA', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3815,"['BAA', 'EXJPUS', 'EXCHUS']",0.815789474,1,0.125
3831,"['BAA', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
3843,"['BAA', 'EXCHUS', 'XTIMVA01KRM667S']",0.815789474,1,0.125
3933,"['UNRATE', 'T10Y2YM', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4035,"['UNRATE', 'PCE', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4067,"['UNRATE', 'LREMTTTTUSM156S_x', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4098,"['UNRATE', 'LREMTTTTUSM156S_y', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4157,"['UNRATE', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4185,"['UNRATE', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4238,"['UNRATE', 'INDPRO', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4263,"['UNRATE', 'PPIACO', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4332,"['UNRATE', 'HOUST', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4353,"['UNRATE', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4373,"['UNRATE', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4392,"['UNRATE', 'USSLIND', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4410,"['UNRATE', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4427,"['UNRATE', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4443,"['UNRATE', '서울아파트매매가격지수', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4472,"['UNRATE', '수출물가지수', 'GACDFSA066MSFRBPHI']",0.842105263,1,0.25
4485,"['UNRATE', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4497,"['UNRATE', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4518,"['UNRATE', 'XTEXVA01CNM667S', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4527,"['UNRATE', '정책금리', 'GACDFSA066MSFRBPHI']",0.815789474,1,0.125
4546,"['UNRATE', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",0.815789474,1,0.125
4547,"['UNRATE', 'GACDFSA066MSFRBPHI', '한국실업률']",0.815789474,1,0.125
4548,"['UNRATE', 'GACDFSA066MSFRBPHI', 'IR3TCD01KRM156N']",0.815789474,1,0.125
