,Date,Open,High,Low,Close,Adj Close,Volume,Upinclude,5days,10days,15days
0,1997-07-01,744.97998,760.52002,744.669983,758.030029,758.030029,0,0,0.01280946747295686,-0.0039312967639703045,-0.04228071154685098
1,1997-07-02,763.3900150000001,777.289978,763.3900150000001,777.289978,777.289978,0,0,-0.006818546681429116,-0.04833460878611773,-0.06009335295971108
2,1997-07-03,778.820007,782.169983,773.27002,775.26001,775.26001,0,0,-0.009661261903603058,-1.0,-0.04671985080205532
3,1997-07-04,776.02002,783.23999,773.900024,781.700012,781.700012,0,0,-0.01714215657450957,-0.04391712482153576,-0.061481381939648694
4,1997-07-07,777.700012,777.75,772.1400150000001,773.51001,773.51001,0,0,-0.011712838725900898,-0.04211970960789502,-0.05118230725934625
5,1997-07-08,773.0,774.0,761.570007,767.73999,767.73999,0,0,-0.016529036086813775,-0.05439342817090986,-0.04566649836750081
6,1997-07-09,768.26001,772.23999,763.969971,771.98999,771.98999,0,0,-0.04180108475240729,-0.053640556919656524,-0.05842041423360944
7,1997-07-10,771.98999,773.169983,765.5,767.77002,767.77002,0,0,-1.0,-0.03742011442436888,-0.05424804813295525
8,1997-07-11,766.909973,771.080017,762.710022,768.299988,768.299988,0,0,-0.02724195408942265,-0.04511255179142337,-0.0479630047840115
9,1997-07-14,767.169983,770.72998,763.6099849999999,764.450012,764.450012,0,0,-0.03076724263299513,-0.039937247067503456,-0.03958402711098408
10,1997-07-15,762.929993,764.200012,748.469971,755.049988,755.049988,0,0,-0.03850077274618802,-0.02962717085693145,-0.01879346165885909
11,1997-07-16,750.349976,750.349976,737.590027,739.719971,739.719971,0,0,-0.012355964903372874,-0.0173443417820065,0.008016618764508099
12,1997-07-17,0.0,0.0,0.0,0.0,0.0,0,0,inf,inf,inf
13,1997-07-18,737.22998,748.0599980000001,736.710022,747.369995,747.369995,0,0,-0.01837106131080357,-0.02130134084390156,0.006208457699723446
14,1997-07-21,741.02002,747.52002,736.919983,740.929993,740.929993,0,0,-0.009461096279307912,-0.009096663738378363,0.03258069484035597
15,1997-07-22,740.8900150000001,741.150024,723.460022,725.97998,725.97998,0,0,0.009228922538607742,0.02049643986050409,0.049643297326187996
16,1997-07-23,723.5599980000001,730.780029,721.669983,730.580017,730.580017,0,0,-0.005050784190830049,0.020627455787638915,0.04400608044553178
17,1997-07-24,729.419983,739.039978,724.919983,739.039978,739.039978,0,0,-0.01748211650872289,0.008538101033554568,0.02265107639413788
18,1997-07-25,739.820007,746.869995,733.590027,733.6400150000001,733.6400150000001,0,0,-0.0029851193435789236,0.025039521596978087,-1.0
