,Date,Open,High,Low,Close,Adj Close,Volume,Hammer,Upinclude,3UP,5days,10days,15days,5days_avgUpRate
0,1997-07-01,744.97998,760.52002,744.669983,758.030029,758.030029,0,0,0,0,0.01280946747295686,-0.0039312967639703045,-0.04228071154685098,0.022518858550391308
1,1997-07-02,763.3900150000001,777.289978,763.3900150000001,777.289978,777.289978,0,0,0,0,-0.006818546681429116,-0.04833460878611773,-0.06009335295971108,-0.004181162361519597
2,1997-07-03,778.820007,782.169983,773.27002,775.26001,775.26001,0,0,0,0,-0.009661261903603058,-1.0,-0.04671985080205532,-0.0035059277725416394
3,1997-07-04,776.02002,783.23999,773.900024,781.700012,781.700012,0,0,0,0,-0.01714215657450957,-0.04391712482153576,-0.061481381939648694,-0.015143932734134325
4,1997-07-07,777.700012,777.75,772.1400150000001,773.51001,773.51001,0,0,0,0,-0.011712838725900898,-0.04211970960789502,-0.05118230725934625,-0.007058745109193865
5,1997-07-08,773.0,774.0,761.570007,767.73999,767.73999,0,0,0,0,-0.016529036086813775,-0.05439342817090986,-0.04566649836750081,-0.0029020116563161836
6,1997-07-09,768.26001,772.23999,763.969971,771.98999,771.98999,0,0,0,0,-0.04180108475240729,-0.053640556919656524,-0.05842041423360944,-0.01675150502922964
7,1997-07-10,771.98999,773.169983,765.5,767.77002,767.77002,0,0,0,0,-1.0,-0.03742011442436888,-0.05424804813295525,-0.2113471794587655
8,1997-07-11,766.909973,771.080017,762.710022,768.299988,768.299988,0,0,0,0,-0.02724195408942265,-0.04511255179142337,-0.0479630047840115,-0.2173395775192956
9,1997-07-14,767.169983,770.72998,763.6099849999999,764.450012,764.450012,0,0,0,0,-0.03076724263299513,-0.039937247067503456,-0.03958402711098408,-0.21955133751767147
10,1997-07-15,762.929993,764.200012,748.469971,755.049988,755.049988,0,0,0,0,-0.03850077274618802,-0.02962717085693145,-0.01879346165885909,-0.21753526628756142
11,1997-07-16,750.349976,750.349976,737.590027,739.719971,739.719971,0,0,0,0,-0.012355964903372874,-0.0173443417820065,0.008016618764508099,-0.2037905963201309
12,1997-07-17,0.0,0.0,0.0,0.0,0.0,0,0,0,0,inf,inf,inf,inf
13,1997-07-18,737.22998,748.0599980000001,736.710022,747.369995,747.369995,0,0,0,0,-0.01837106131080357,-0.02130134084390156,0.006208457699723446,-0.017843903942116414
14,1997-07-21,741.02002,747.52002,736.919983,740.929993,740.929993,0,0,0,0,-0.009461096279307912,-0.009096663738378363,0.03258069484035597,-0.011199436489811277
15,1997-07-22,740.8900150000001,741.150024,723.460022,725.97998,725.97998,0,0,0,0,0.009228922538607742,0.02049643986050409,0.049643297326187996,0.011008591724526794
16,1997-07-23,723.5599980000001,730.780029,721.669983,730.580017,730.580017,0,0,0,0,-0.005050784190830049,0.020627455787638915,0.04400608044553178,0.0036327024258042684
17,1997-07-24,729.419983,739.039978,724.919983,739.039978,739.039978,0,0,0,0,-0.01748211650872289,0.008538101033554568,0.02265107639413788,-0.011352535789342788
18,1997-07-25,739.820007,746.869995,733.590027,733.6400150000001,733.6400150000001,0,0,0,0,-0.0029851193435789236,0.025039521596978087,-1.0,-0.004672612357438233
19,1997-07-28,732.5599980000001,738.130005,730.909973,733.919983,733.919983,0,0,0,0,0.0003679134050775801,0.04244335175705394,0.018217237995548752,-0.004978716596683697
20,1997-07-29,733.679993,734.630005,731.409973,732.679993,732.679993,0,0,0,0,0.011164481189811948,0.04004480438979319,0.011751358140333457,-0.0010618431067218382
21,1997-07-30,733.630005,736.280029,726.0599980000001,726.8900150000001,726.8900150000001,0,0,0,0,0.025808593615087583,0.049305898086933864,0.02660645297211839,0.012056828982579936
22,1997-07-31,724.780029,726.119995,721.400024,726.119995,726.119995,0,0,0,0,0.026483199928959422,0.04084728998545195,0.01838535791870033,0.018426713066894605
23,1997-08-01,726.840027,735.169983,726.789978,731.450012,731.450012,0,0,0,0,0.02810854831184284,-1.0,0.007068128942760987,0.016627229749775374
24,1997-08-04,729.659973,734.6900019999999,729.23999,734.1900019999999,734.1900019999999,0,0,0,0,0.04205996392743039,0.017842759999883606,0.01031069338914814,0.021245179527792146
25,1997-08-05,734.369995,740.909973,733.659973,740.8599849999999,740.8599849999999,0,0,0,0,0.028561449435010378,0.0005803971178170997,-0.009218956534681633,0.01776317072921696
26,1997-08-06,740.039978,745.650024,739.679993,745.650024,745.650024,0,0,0,0,0.022906129484681514,0.0007777857994140103,-0.02061288071520273,0.015806308885735375
27,1997-08-07,746.380005,748.969971,743.400024,745.349976,745.349976,0,0,0,0,0.013993497465410787,-0.007888918212026641,-0.038223642473156794,0.019013931248855264
28,1997-08-08,745.969971,752.01001,745.909973,752.01001,752.01001,0,0,0,0,-1.0,-0.020465173063321296,-0.06348318421984822,-0.19001077233001187
29,1997-08-11,762.77002,766.47998,762.3599849999999,765.070007,765.070007,0,0,0,0,-0.02323974124893391,-0.03046779613202122,-0.10831687851017802,-0.20848550347105696
30,1997-08-12,766.26001,766.700012,761.799988,762.02002,762.02002,0,0,0,0,-0.02720406479609294,-0.03673130661317803,-0.09611294858106223,-0.21075827771559075
31,1997-08-13,762.98999,766.52002,760.9400019999999,762.72998,762.72998,0,0,0,0,-0.02163281952021867,-0.042544480813511365,-0.0971509930683464,-0.2158194791294293
32,1997-08-14,762.780029,762.780029,753.659973,755.780029,755.780029,0,0,0,0,-0.021580429985137983,-0.051496523467941535,-0.08969546216998536,-0.21292445079942696
33,1997-08-15,0.0,0.0,0.0,0.0,0.0,0,0,0,0,inf,inf,inf,inf
34,1997-08-18,747.840027,749.4400019999999,745.369995,747.289978,747.289978,0,0,0,0,-0.007400029657563589,-0.08710135010000097,-0.065985092068236,-0.0083180443776806
35,1997-08-19,746.460022,747.450012,737.539978,741.289978,741.289978,0,0,0,0,-0.009793669434985941,-0.07083590842772736,-0.07057967671593157,-0.002250105963256388
36,1997-08-20,741.159973,749.3099980000001,735.369995,746.22998,746.22998,0,0,0,0,-0.02137404208820437,-0.07718796690532315,-0.07318117264599844,-0.013129964572047825
37,1997-08-21,745.75,746.6900019999999,739.419983,739.469971,739.469971,0,0,0,0,-0.030575935314079206,-0.06961740573505981,-0.05963727768466742,-0.010223486681651827
38,1997-08-22,738.919983,742.280029,729.719971,736.619995,736.619995,0,0,0,0,-0.043916775568928146,-0.04846462523733153,-0.05062308687398587,-0.015177405549519563
39,1997-08-25,744.039978,746.98999,739.98999,741.76001,741.76001,0,0,0,0,-0.08029550959480813,-0.05902182567108194,-1.0,-0.03806082104641888
40,1997-08-26,740.77002,740.77002,731.549988,734.030029,734.030029,0,0,0,0,-0.061645979336357626,-0.0613872133560901,-1.0,-0.04025995236224862
41,1997-08-27,732.549988,735.72998,730.23999,730.280029,730.280029,0,0,0,0,-0.0570329494797126,-0.052938643348824255,-1.0,-0.046738261275935854
42,1997-08-28,729.8599849999999,731.3599849999999,716.599976,716.8599849999999,716.8599849999999,0,0,0,0,-0.04027285049255458,-0.029977946111749976,-0.021580183471950787,-0.0369472063641549
43,1997-08-29,714.969971,718.6099849999999,704.27002,704.27002,704.27002,0,0,0,0,-0.004756750826905964,-0.007014359350409394,-0.02145490588964727,-0.020682431150484248
44,1997-09-01,691.799988,697.380005,682.099976,682.200012,682.200012,0,0,0,0,0.023130999299953103,-1.0,-0.020155379299524268,0.015625894477410186
45,1997-09-02,679.090027,688.780029,671.090027,688.780029,688.780029,0,0,0,0,0.00027576583524902,-1.0,-0.04995794382998875,0.0059786239824326515
46,1997-09-03,690.72998,697.4400019999999,687.330017,688.630005,688.630005,0,0,0,0,0.004341939761977276,-1.0,-0.04774698279375722,0.0070661730750464
47,1997-09-04,687.369995,690.1900019999999,682.219971,687.98999,687.98999,0,0,0,0,0.010726907523756157,0.0194770639032118,-0.05957934068197712,0.010148395909074282
48,1997-09-05,688.039978,701.3599849999999,686.98999,700.919983,700.919983,0,0,0,0,-0.0022683987310432308,-0.01677796365523221,-0.08939675643403655,-0.008939667225894964
49,1997-09-08,703.460022,703.650024,696.049988,697.97998,697.97998,0,0,0,0,-1.0,-0.042307757881536845,-0.10445854478519556,-0.20476516303519182
50,1997-09-09,694.830017,694.830017,687.75,688.969971,688.969971,0,0,0,0,-1.0,-0.050219860743393685,-0.06075734467678284,-0.39436547460208526
51,1997-09-10,687.52002,691.619995,685.650024,691.619995,691.619995,0,0,0,0,-1.0,-0.05186373334969885,-0.0675226458714514,-0.5966860350820251
52,1997-09-11,690.5,695.369995,687.6900019999999,695.369995,695.369995,0,0,0,0,0.008657290425653219,-0.069560083621382,-0.08444421160277416,-0.5971295735876553
53,1997-09-12,694.469971,699.75,693.6099849999999,699.330017,699.330017,0,0,0,0,-0.014542553233489963,-0.08732644890888475,-1.0,-0.602319375917765
