,Date,Open,High,Low,Close,Adj Close,Volume,Hammer
0,1997-07-01,744.97998,760.52002,744.669983,758.030029,758.030029,0,0
1,1997-07-02,763.3900150000001,777.289978,763.3900150000001,777.289978,777.289978,0,0
2,1997-07-03,778.820007,782.169983,773.27002,775.26001,775.26001,0,0
3,1997-07-04,776.02002,783.23999,773.900024,781.700012,781.700012,0,0
4,1997-07-07,777.700012,777.75,772.1400150000001,773.51001,773.51001,0,0
5,1997-07-08,773.0,774.0,761.570007,767.73999,767.73999,0,0
6,1997-07-09,768.26001,772.23999,763.969971,771.98999,771.98999,0,0
7,1997-07-10,771.98999,773.169983,765.5,767.77002,767.77002,0,0
8,1997-07-11,766.909973,771.080017,762.710022,768.299988,768.299988,0,0
9,1997-07-14,767.169983,770.72998,763.6099849999999,764.450012,764.450012,0,0
10,1997-07-15,762.929993,764.200012,748.469971,755.049988,755.049988,0,0
11,1997-07-16,750.349976,750.349976,737.590027,739.719971,739.719971,0,0
12,1997-07-17,0.0,0.0,0.0,0.0,0.0,0,0
13,1997-07-18,737.22998,748.0599980000001,736.710022,747.369995,747.369995,0,0
14,1997-07-21,741.02002,747.52002,736.919983,740.929993,740.929993,0,0
15,1997-07-22,740.8900150000001,741.150024,723.460022,725.97998,725.97998,0,0
16,1997-07-23,723.5599980000001,730.780029,721.669983,730.580017,730.580017,0,0
17,1997-07-24,729.419983,739.039978,724.919983,739.039978,739.039978,0,0
18,1997-07-25,739.820007,746.869995,733.590027,733.6400150000001,733.6400150000001,0,0
19,1997-07-28,732.5599980000001,738.130005,730.909973,733.919983,733.919983,0,0
20,1997-07-29,733.679993,734.630005,731.409973,732.679993,732.679993,0,0
21,1997-07-30,733.630005,736.280029,726.0599980000001,726.8900150000001,726.8900150000001,0,0
22,1997-07-31,724.780029,726.119995,721.400024,726.119995,726.119995,0,0
23,1997-08-01,726.840027,735.169983,726.789978,731.450012,731.450012,0,0
24,1997-08-04,729.659973,734.6900019999999,729.23999,734.1900019999999,734.1900019999999,0,0
25,1997-08-05,734.369995,740.909973,733.659973,740.8599849999999,740.8599849999999,0,0
26,1997-08-06,740.039978,745.650024,739.679993,745.650024,745.650024,0,0
27,1997-08-07,746.380005,748.969971,743.400024,745.349976,745.349976,0,0
28,1997-08-08,745.969971,752.01001,745.909973,752.01001,752.01001,0,0
29,1997-08-11,762.77002,766.47998,762.3599849999999,765.070007,765.070007,0,0
30,1997-08-12,766.26001,766.700012,761.799988,762.02002,762.02002,0,0
31,1997-08-13,762.98999,766.52002,760.9400019999999,762.72998,762.72998,0,0
