DATE,IR3TCD01KRM156N
1991-01-01,17.3
1991-02-01,16.9
1991-03-01,17.6
1991-04-01,18.65
1991-05-01,19.01
1991-06-01,19.02
1991-07-01,18.3
1991-08-01,18.54
1991-09-01,19.01
1991-10-01,18.89
1991-11-01,18.01
1991-12-01,18.38
1992-01-01,17.19
1992-02-01,16.42
1992-03-01,16.9
1992-04-01,17.28
1992-05-01,17.54
1992-06-01,17.31
1992-07-01,16.73
1992-08-01,17.16
1992-09-01,17.21
1992-10-01,14.25
1992-11-01,13.77
1992-12-01,15.19
1993-01-01,13.86
1993-02-01,12.51
1993-03-01,11.74
1993-04-01,11.46
1993-05-01,11.53
1993-06-01,12.55
1993-07-01,13.25
1993-08-01,14.87
1993-09-01,14.71
1993-10-01,13.89
1993-11-01,12.9
1993-12-01,12.27
1994-01-01,11.68
1994-02-01,11.6
1994-03-01,12.72
1994-04-01,12.47
1994-05-01,12.38
1994-06-01,12.49
1994-07-01,12.83
1994-08-01,15
1994-09-01,15.04
1994-10-01,14.39
1994-11-01,14
1994-12-01,14.85
1995-01-01,15.72
1995-02-01,16.65
1995-03-01,15.33
1995-04-01,14.56
1995-05-01,14.87
1995-06-01,14.73
1995-07-01,14.24
1995-08-01,13.45
1995-09-01,13.1
1995-10-01,12.32
1995-11-01,11.95
1995-12-01,11.73
1996-01-01,11.65
1996-02-01,11.67
1996-03-01,11.55
1996-04-01,10.46
1996-05-01,10.87
1996-06-01,12.18
1996-07-01,12.84
1996-08-01,14.79
1996-09-01,14.3
1996-10-01,14.11
1996-11-01,13.66
1996-12-01,13.53
1997-01-01,12.66
1997-02-01,12.28
1997-03-01,13.23
1997-04-01,13.11
1997-05-01,12.75
1997-06-01,11.79
1997-07-01,11.91
1997-08-01,12.65
1997-09-01,13.39
1997-10-01,13.79
1997-11-01,14.47
1997-12-01,18.55
1998-01-01,23.1
1998-02-01,22.46
1998-03-01,22.61
1998-04-01,20.26
1998-05-01,18.28
1998-06-01,16.93
1998-07-01,13.95
1998-08-01,11.19
1998-09-01,10.38
1998-10-01,8.08
1998-11-01,7.7
1998-12-01,7.7
1999-01-01,7
1999-02-01,6.7
1999-03-01,6.56
1999-04-01,6.16
1999-05-01,6.17
1999-06-01,6.28
1999-07-01,6.75
1999-08-01,7.19
1999-09-01,7.54
1999-10-01,7.29
1999-11-01,6.91
1999-12-01,7.16
2000-01-01,7.28
2000-02-01,7.13
2000-03-01,7
2000-04-01,7.06
2000-05-01,7.14
2000-06-01,7.17
2000-07-01,7.15
2000-08-01,7.04
2000-09-01,7.05
2000-10-01,7.04
2000-11-01,6.99
2000-12-01,6.89
2001-01-01,6.43
2001-02-01,5.73
2001-03-01,5.68
2001-04-01,5.84
2001-05-01,5.85
2001-06-01,5.65
2001-07-01,5.32
2001-08-01,4.92
2001-09-01,4.66
2001-10-01,4.36
2001-11-01,4.53
2001-12-01,4.84
2002-01-01,4.79
2002-02-01,4.54
2002-03-01,4.64
2002-04-01,4.79
2002-05-01,4.81
2002-06-01,4.85
2002-07-01,4.91
2002-08-01,4.8
2002-09-01,4.81
2002-10-01,4.91
2002-11-01,4.91
2002-12-01,4.9
2003-01-01,4.7
2003-02-01,4.54
2003-03-01,4.76
2003-04-01,4.62
2003-05-01,4.39
2003-06-01,4.28
2003-07-01,4.15
2003-08-01,3.9
2003-09-01,3.83
2003-10-01,3.93
2003-11-01,4.23
2003-12-01,4.34
2004-01-01,4.26
2004-02-01,4.08
2004-03-01,3.93
2004-04-01,3.91
2004-05-01,3.9
2004-06-01,3.91
2004-07-01,3.91
2004-08-01,3.7
2004-09-01,3.52
2004-10-01,3.52
2004-11-01,3.42
2004-12-01,3.39
2005-01-01,3.47
2005-02-01,3.59
2005-03-01,3.55
2005-04-01,3.52
2005-05-01,3.51
2005-06-01,3.51
2005-07-01,3.51
2005-08-01,3.5
2005-09-01,3.7
2005-10-01,3.93
2005-11-01,3.96
2005-12-01,4.04
2006-01-01,4.15
2006-02-01,4.25
2006-03-01,4.27
2006-04-01,4.33
2006-05-01,4.36
2006-06-01,4.47
2006-07-01,4.63
2006-08-01,4.68
2006-09-01,4.64
2006-10-01,4.57
2006-11-01,4.6
2006-12-01,4.76
2007-01-01,4.92
2007-02-01,4.95
2007-03-01,4.94
2007-04-01,4.95
2007-05-01,5.04
2007-06-01,5.03
2007-07-01,5.05
2007-08-01,5.21
2007-09-01,5.34
2007-10-01,5.34
2007-11-01,5.43
2007-12-01,5.73
2008-01-01,5.81
2008-02-01,5.28
2008-03-01,5.25
2008-04-01,5.38
2008-05-01,5.36
2008-06-01,5.36
2008-07-01,5.52
2008-08-01,5.77
2008-09-01,5.79
2008-10-01,6.03
2008-11-01,5.62
2008-12-01,4.68
2009-01-01,3.22
2009-02-01,2.7
2009-03-01,2.45
2009-04-01,2.42
2009-05-01,2.41
2009-06-01,2.41
2009-07-01,2.41
2009-08-01,2.48
2009-09-01,2.64
2009-10-01,2.79
2009-11-01,2.79
2009-12-01,2.82
2010-01-01,2.88
2010-02-01,2.88
2010-03-01,2.83
2010-04-01,2.51
2010-05-01,2.45
2010-06-01,2.45
2010-07-01,2.58
2010-08-01,2.63
2010-09-01,2.66
2010-10-01,2.66
2010-11-01,2.73
2010-12-01,2.8
2011-01-01,2.93
2011-02-01,3.13
2011-03-01,3.35
2011-04-01,3.4
2011-05-01,3.46
2011-06-01,3.53
2011-07-01,3.59
2011-08-01,3.59
2011-09-01,3.58
2011-10-01,3.58
2011-11-01,3.56
2011-12-01,3.55
2012-01-01,3.55
2012-02-01,3.53
2012-03-01,3.54
2012-04-01,3.54
2012-05-01,3.54
2012-06-01,3.54
2012-07-01,3.34
2012-08-01,3.19
2012-09-01,3.14
2012-10-01,2.93
2012-11-01,2.85
2012-12-01,2.88
2013-01-01,2.86
2013-02-01,2.83
2013-03-01,2.81
2013-04-01,2.8
2013-05-01,2.72
2013-06-01,2.69
2013-07-01,2.68
2013-08-01,2.66
2013-09-01,2.66
2013-10-01,2.66
2013-11-01,2.65
2013-12-01,2.65
2014-01-01,2.65
2014-02-01,2.65
2014-03-01,2.65
2014-04-01,2.65
2014-05-01,2.65
2014-06-01,2.65
2014-07-01,2.65
2014-08-01,2.517
2014-09-01,2.35
2014-10-01,2.21
2014-11-01,2.14
2014-12-01,2.13
2015-01-01,2.13
2015-02-01,2.12
2015-03-01,1.95
2015-04-01,1.81
2015-05-01,1.8
2015-06-01,1.7
2015-07-01,1.65
2015-08-01,1.64
2015-09-01,1.6
2015-10-01,1.58
2015-11-01,1.59
2015-12-01,1.67
2016-01-01,1.67
2016-02-01,1.64
2016-03-01,1.63
2016-04-01,1.61
2016-05-01,1.58
2016-06-01,1.43
2016-07-01,1.36
2016-08-01,1.35
2016-09-01,1.34
2016-10-01,1.35
2016-11-01,1.42
2016-12-01,1.54
2017-01-01,1.5
2017-02-01,1.49
2017-03-01,1.48
2017-04-01,1.43
2017-05-01,1.39
2017-06-01,1.38
2017-07-01,1.39
2017-08-01,1.39
2017-09-01,1.38
2017-10-01,1.38
2017-11-01,1.45
2017-12-01,1.66
2018-01-01,1.66
2018-02-01,1.65
2018-03-01,1.65
2018-04-01,1.65
2018-05-01,1.65
2018-06-01,1.65
2018-07-01,1.65
2018-08-01,1.65
2018-09-01,1.65
2018-10-01,1.68
2018-11-01,1.71
2018-12-01,1.91
2019-01-01,1.87
2019-02-01,1.87
2019-03-01,1.9
2019-04-01,1.86
2019-05-01,1.84
