DATE,KORCPIALLMINMEI
1960-01-01,1.28080447311351
1960-02-01,1.30908409265552
1960-03-01,1.32390293283926
1960-04-01,1.36296049589317
1960-05-01,1.35891959922132
1960-06-01,1.35756819555677
1960-07-01,1.36834613906866
1960-08-01,1.37912408258056
1960-09-01,1.377772678916
1960-10-01,1.36296049589317
1960-11-01,1.32659908300746
1960-12-01,1.32928857601475
1961-01-01,1.41413409180171
1961-02-01,1.44781266884104
1961-03-01,1.46531434487116
1961-04-01,1.47474754187941
1961-05-01,1.50033766841413
1961-06-01,1.4329938286573
1961-07-01,1.46665909137481
1961-08-01,1.48821497839859
1961-09-01,1.48282267806219
1961-10-01,1.48686357473404
1961-11-01,1.41413409180171
1961-12-01,1.3858544722597
1962-01-01,1.40740370212257
1962-02-01,1.46128010536022
1962-03-01,1.50302050426052
1962-04-01,1.53130678096344
1962-05-01,1.56093780417001
1962-06-01,1.55285601082632
1962-07-01,1.56767485101006
1962-08-01,1.61346280374311
1962-09-01,1.59326497754478
1962-10-01,1.60269151739212
1962-11-01,1.60134011372757
1962-12-01,1.62019985058315
1963-01-01,1.66195356380526
1963-02-01,1.69831497669097
1963-03-01,1.70774151653831
1963-04-01,1.7656521592869
1963-05-01,1.74544767592767
1963-06-01,1.79258703232527
1963-07-01,2.01480972063319
1963-08-01,2.0484816405116
1963-09-01,2.02019536380868
1963-10-01,1.9434249842045
1963-11-01,1.98652344393026
1963-12-01,2.08214690322911
1964-01-01,2.19662344222264
1964-02-01,2.34881279776643
1964-03-01,2.39864164717133
1964-04-01,2.44713240723348
1964-05-01,2.56160894622701
1964-06-01,2.44443625706528
1964-07-01,2.37979522463756
1964-08-01,2.35958408411742
1964-09-01,2.44443625706528
1964-10-01,2.49561651013473
1964-11-01,2.49426510647018
1964-12-01,2.51582099349396
1965-01-01,2.62824712692748
1965-02-01,2.68549871074606
1965-03-01,2.69149015556428
1965-04-01,2.73276455320094
1965-05-01,2.78735327265586
1965-06-01,2.76272177729205
1965-07-01,2.7986704462014
1965-08-01,2.82596480592886
1965-09-01,2.81265048411059
1965-10-01,2.79600758183774
1965-11-01,2.74874173938287
1965-12-01,2.75739604856475
1966-01-01,2.82330194156521
1966-02-01,2.90318787247486
1966-03-01,2.94978799883882
1966-04-01,2.98041093902085
1966-05-01,3.06295973429416
1966-06-01,3.06828546302146
1966-07-01,3.05430542511228
1966-08-01,3.11754845374908
1966-09-01,3.17546575365858
1966-10-01,3.25801454893188
1966-11-01,3.17546575365858
1966-12-01,3.17812861802223
1967-01-01,3.19477152029508
1967-02-01,3.24137164665904
1967-03-01,3.28597462475026
1967-04-01,3.37384914875088
1967-05-01,3.40646923720565
1967-06-01,3.36852342002357
1967-07-01,3.37384914875088
1967-08-01,3.41512354638753
1967-09-01,3.46971226584246
1967-10-01,3.5249667013883
1967-11-01,3.54693533238845
1967-12-01,3.5442724680248
1968-01-01,3.61284122538891
1968-02-01,3.67075852529841
1968-03-01,3.70670719420775
1968-04-01,3.7040443298441
1968-05-01,3.71203292293506
1968-06-01,3.72601296084425
1968-07-01,3.72335009648059
1968-08-01,3.7479815918444
1968-09-01,3.7672873584809
1968-10-01,3.8691419203907
1968-11-01,3.95967930875497
1968-12-01,3.93504781339117
1969-01-01,4.03690237530097
1969-02-01,4.06153387066478
1969-03-01,4.09215681084681
1969-04-01,4.11412544184696
1969-05-01,4.14141980157443
1969-06-01,4.15539983948362
1969-07-01,4.15539983948362
1969-08-01,4.17736847048377
1969-09-01,4.31184312084835
1969-10-01,4.42767772066734
1969-11-01,4.47694071139496
1969-12-01,4.5761324089411
1970-01-01,4.63737828930517
1970-02-01,4.73057854203309
1970-03-01,4.83376453612473
1970-04-01,4.93695053021636
1970-05-01,4.88768753948874
1970-06-01,4.78450154539711
1970-07-01,4.81911878212462
1970-08-01,4.85307030276122
1970-09-01,4.97090205085296
1970-10-01,5.06876231621728
1970-11-01,5.05944229094449
1970-12-01,5.23585705503663
1971-01-01,5.37299456976486
1971-02-01,5.48084057649289
1971-03-01,5.58402657058452
1971-04-01,5.55939507522071
1971-05-01,5.46086909376548
1971-06-01,5.45154906849268
1971-07-01,5.549409333857
1971-08-01,5.59867232458462
1971-09-01,5.69187257731255
1971-10-01,5.64726959922132
1971-11-01,5.65725534058503
1971-12-01,5.71117834394904
1972-01-01,5.79971858404058
1972-02-01,5.98545337340551
1972-03-01,6.15254811222486
1972-04-01,6.19182536158877
1972-05-01,6.21645685695258
1972-06-01,6.25040837758918
1972-07-01,6.3189771349533
1972-08-01,6.41683740031762
1972-09-01,6.42216312904493
1972-10-01,6.3482686429535
1972-11-01,6.23110261095268
1972-12-01,6.23576262358908
1973-01-01,6.25506839022558
1973-02-01,6.27503987295299
1973-03-01,6.2850256143167
1973-04-01,6.3189771349533
1973-05-01,6.35359437168081
1973-06-01,6.33894861768071
1973-07-01,6.37290013831731
1973-08-01,6.43680888304503
1973-09-01,6.49073188640904
1973-10-01,6.50071762777275
1973-11-01,6.57860641040966
1973-12-01,6.76500691586551
1974-01-01,7.05459341541299
1974-02-01,7.42672871023378
1974-03-01,7.70632946841755
1974-04-01,7.84879271187309
1974-05-01,7.888069961237
1974-06-01,7.82882122914568
1974-07-01,8.00057598060143
1974-08-01,8.250885230785
1974-09-01,8.38802274551322
1974-10-01,8.3094682467854
1974-11-01,8.42197426614983
1974-12-01,8.55445176824166
1975-01-01,8.84936399651645
1975-02-01,9.00913585833575
1975-03-01,9.17889346151876
1975-04-01,9.46847996106624
1975-05-01,9.80799516743225
