,feature,accuracy,precision,recall
60,"['Volume', '경상수지', 'FEDFUNDS']",0.5,0.4411764705882353,1.0
61,"['Volume', '경상수지', 'USSLIND']",0.6578947368421053,0.55,0.7333333333333333
62,"['Volume', '경상수지', 'TOTALSA']",0.42105263157894735,0.3333333333333333,0.4666666666666667
63,"['Volume', '경상수지', 'UMCSENT']",0.5,0.4,0.5333333333333333
64,"['Volume', '경상수지', '서울아파트매매가격지수']",0.5,0.43333333333333335,0.8666666666666667
65,"['Volume', '경상수지', 'AMBNS']",0.4473684210526316,0.3125,0.3333333333333333
66,"['Volume', '경상수지', '수출물가지수']",0.5263157894736842,0.42857142857142855,0.6
67,"['Volume', '경상수지', 'EXJPUS']",0.47368421052631576,0.35294117647058826,0.4
68,"['Volume', '경상수지', 'EXKOUS']",0.6052631578947368,0.5,0.4666666666666667
69,"['Volume', '경상수지', 'EXCHUS']",0.6842105263157895,0.5789473684210527,0.7333333333333333
70,"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.5263157894736842,0.4117647058823529,0.4666666666666667
71,"['Volume', '경상수지', '정책금리']",0.6578947368421053,0.55,0.7333333333333333
72,"['Volume', '경상수지', '통화량']",0.6578947368421053,0.5625,0.6
73,"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0.5789473684210527,0.48148148148148145,0.8666666666666667
74,"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.5,0.4166666666666667,0.6666666666666666
75,"['Volume', '경상수지', 'KORPROINDMISMEI']",0.5789473684210527,0.4782608695652174,0.7333333333333333
76,"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.5526315789473685,0.4166666666666667,0.3333333333333333
77,"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.47368421052631576,0.2222222222222222,0.13333333333333333
78,"['Volume', '경상수지', '한국실업률']",0.5526315789473685,0.4444444444444444,0.5333333333333333
79,"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.39473684210526316,0.25,0.26666666666666666
80,"['Volume', '경상수지', '환율평균']",0.6842105263157895,0.5882352941176471,0.6666666666666666
81,"['Volume', '상품수지', 'BAA']",0.42105263157894735,0.37037037037037035,0.6666666666666666
82,"['Volume', '상품수지', 'UNRATE']",0.5263157894736842,0.42105263157894735,0.5333333333333333
83,"['Volume', '상품수지', 'T10Y2YM']",0.5526315789473685,0.45,0.6
84,"['Volume', '상품수지', 'NEWORDER']",0.5,0.4,0.5333333333333333
85,"['Volume', '상품수지', 'CSUSHPINSA']",0.5789473684210527,0.47368421052631576,0.6
86,"['Volume', '상품수지', 'PCE']",0.5789473684210527,0.4666666666666667,0.4666666666666667
87,"['Volume', '상품수지', 'LREMTTTTUSM156S_x']",0.5263157894736842,0.4444444444444444,0.8
88,"['Volume', '상품수지', 'LREMTTTTUSM156S_y']",0.5263157894736842,0.4444444444444444,0.8
89,"['Volume', '상품수지', 'DGORDER']",0.47368421052631576,0.391304347826087,0.6
90,"['Volume', '상품수지', 'TWEXBMTH']",0.5263157894736842,0.3333333333333333,0.2
91,"['Volume', '상품수지', 'UNRATENSA']",0.5,0.4166666666666667,0.6666666666666666
92,"['Volume', '상품수지', 'TCU']",0.3157894736842105,0.3225806451612903,0.6666666666666666
93,"['Volume', '상품수지', 'INDPRO']",0.5,0.4090909090909091,0.6
94,"['Volume', '상품수지', 'PPIACO']",0.34210526315789475,0.3333333333333333,0.6666666666666666
95,"['Volume', '상품수지', 'RMFSL']",0.4473684210526316,0.35,0.4666666666666667
96,"['Volume', '상품수지', 'CPIAUCSL']",0.5526315789473685,0.45,0.6
97,"['Volume', '상품수지', 'HOUST']",0.5263157894736842,0.4117647058823529,0.4666666666666667
98,"['Volume', '상품수지', 'HSN1F']",0.5526315789473685,0.45,0.6
99,"['Volume', '상품수지', 'FEDFUNDS']",0.5526315789473685,0.4666666666666667,0.9333333333333333
100,"['Volume', '상품수지', 'USSLIND']",0.5789473684210527,0.48,0.8
101,"['Volume', '상품수지', 'TOTALSA']",0.47368421052631576,0.3684210526315789,0.4666666666666667
102,"['Volume', '상품수지', 'UMCSENT']",0.6052631578947368,0.5,0.6
103,"['Volume', '상품수지', '서울아파트매매가격지수']",0.39473684210526316,0.34615384615384615,0.6
104,"['Volume', '상품수지', 'AMBNS']",0.47368421052631576,0.3684210526315789,0.4666666666666667
105,"['Volume', '상품수지', '수출물가지수']",0.5526315789473685,0.4444444444444444,0.5333333333333333
