DATE,Àº½Ã¼¼
2017-10-02,16.58
2017-10-03,16.61
2017-10-04,16.825
2017-10-05,16.66
2017-10-06,16.625
2017-10-09,16.92
2017-10-10,17.12
2017-10-11,17.15
2017-10-12,17.195
2017-10-13,17.2
2017-10-16,17.41
2017-10-17,17.11
2017-10-18,16.95
2017-10-19,17.025
2017-10-20,17.075
2017-10-23,16.995
2017-10-24,17.035
2017-10-25,16.89
2017-10-26,16.97
2017-10-27,16.72
2017-10-30,16.735
2017-10-31,16.82
2017-11-01,16.94
2017-11-02,17.08
2017-11-03,17.085
2017-11-06,16.915
2017-11-07,17.005
2017-11-08,16.995
2017-11-09,17.1
2017-11-10,17
2017-11-13,16.925
2017-11-14,16.935
2017-11-15,17.115
2017-11-16,17.04
2017-11-17,17.085
2017-11-20,17.145
2017-11-21,17
2017-11-22,16.965
2017-11-23,17.095
2017-11-24,17.05
2017-11-27,17.1
2017-11-28,17.07
2017-11-29,16.895
2017-11-30,16.57
2017-12-01,16.42
2017-12-04,16.33
2017-12-05,16.285
2017-12-06,16.115
2017-12-07,15.91
2017-12-08,15.825
2017-12-11,15.835
2017-12-12,15.78
2017-12-13,15.705
2017-12-14,16.01
2017-12-15,15.985
2017-12-18,16.09
2017-12-19,16.155
2017-12-20,16.185
2017-12-21,16.145
2017-12-22,16.175
2017-12-25,0
2017-12-26,0
2017-12-27,16.5
2017-12-28,16.74
2017-12-29,16.865
2018-01-01,0
2018-01-02,17.06
2018-01-03,17.125
2018-01-04,17.13
2018-01-05,17.155
2018-01-08,17.17
2018-01-09,17.055
2018-01-10,17.135
2018-01-11,17.01
2018-01-12,17.12
2018-01-15,17.325
2018-01-16,17.095
2018-01-17,17.21
2018-01-18,17.09
2018-01-19,17.04
2018-01-22,17.035
2018-01-23,16.98
2018-01-24,17.19
2018-01-25,17.52
2018-01-26,17.4
2018-01-29,17.335
2018-01-30,17.295
2018-01-31,17.23
2018-02-01,17.19
2018-02-02,17.135
2018-02-05,16.875
2018-02-06,16.805
2018-02-07,16.69
2018-02-08,16.345
2018-02-09,16.355
2018-02-12,16.425
2018-02-13,16.605
2018-02-14,16.58
2018-02-15,16.825
2018-02-16,16.835
2018-02-19,16.72
2018-02-20,16.57
2018-02-21,16.435
2018-02-22,16.465
2018-02-23,16.61
2018-02-26,16.67
2018-02-27,16.61
2018-02-28,16.44
2018-03-01,16.315
2018-03-02,16.445
2018-03-05,16.51
2018-03-06,16.62
2018-03-07,16.645
2018-03-08,16.48
2018-03-09,16.485
2018-03-12,16.455
2018-03-13,16.51
2018-03-14,16.605
2018-03-15,16.52
2018-03-16,16.475
2018-03-19,16.285
2018-03-20,16.25
2018-03-21,16.245
2018-03-22,16.52
2018-03-23,16.53
2018-03-26,16.61
2018-03-27,16.64
2018-03-28,16.455
2018-03-29,16.28
2018-03-30,0
2018-04-02,0
2018-04-03,16.52
2018-04-04,16.46
2018-04-05,16.305
2018-04-06,16.275
2018-04-09,16.34
2018-04-10,16.49
2018-04-11,16.565
2018-04-12,16.655
2018-04-13,16.505
2018-04-16,16.6
2018-04-17,16.625
2018-04-18,16.945
2018-04-19,17.195
2018-04-20,17.11
2018-04-23,16.935
2018-04-24,16.595
2018-04-25,16.565
2018-04-26,16.575
2018-04-27,16.53
2018-04-30,16.38
2018-05-01,16.25
2018-05-02,16.35
2018-05-03,16.465
2018-05-04,16.415
2018-05-07,0
2018-05-08,16.445
2018-05-09,16.44
2018-05-10,16.6
2018-05-11,16.76
2018-05-14,16.645
2018-05-15,16.41
2018-05-16,16.255
2018-05-17,16.385
2018-05-18,16.39
2018-05-21,16.34
