DATE,무역 가중치 미국 달러 인덱스
2015-05-26,106.8118
2015-05-27,106.9282
2015-05-28,106.9894
2015-05-29,106.9903
2015-06-01,107.2539
2015-06-02,107.087
2015-06-03,107.072
2015-06-04,107.4816
2015-06-05,107.9106
2015-06-08,107.8942
2015-06-09,107.5013
2015-06-10,107.1638
2015-06-11,107.2102
2015-06-12,107.1817
2015-06-15,107.2256
2015-06-16,107.2617
2015-06-17,107.3068
2015-06-18,106.6002
2015-06-19,106.8726
2015-06-22,106.762
2015-06-23,106.9741
2015-06-24,107.1423
2015-06-25,107.2818
2015-06-26,107.5701
2015-06-29,107.7677
2015-06-30,107.7177
2015-07-01,107.9705
2015-07-02,107.7457
2015-07-03,0
2015-07-06,108.0299
2015-07-07,108.4207
2015-07-08,108.4168
2015-07-09,108.3268
2015-07-10,108.0947
2015-07-13,108.1424
2015-07-14,108.0419
2015-07-15,108.3707
2015-07-16,108.402
2015-07-17,108.7568
2015-07-20,109.0492
2015-07-21,108.8396
2015-07-22,109.2908
2015-07-23,109.5424
2015-07-24,109.9262
2015-07-27,110.0472
2015-07-28,109.9703
2015-07-29,109.7531
2015-07-30,110.5336
2015-07-31,109.7632
2015-08-03,110.0753
2015-08-04,110.1427
2015-08-05,110.7312
2015-08-06,110.7211
2015-08-07,110.3671
2015-08-10,110.1997
2015-08-11,111.5722
2015-08-12,111.9153
2015-08-13,112.2272
2015-08-14,112.1593
2015-08-17,112.4413
2015-08-18,112.5222
2015-08-19,112.8402
2015-08-20,113.0839
2015-08-21,113.8169
2015-08-24,114.5104
2015-08-25,114.223
2015-08-26,114.521
2015-08-27,113.7009
2015-08-28,113.5508
2015-08-31,113.4779
2015-09-01,113.7492
2015-09-02,113.9914
2015-09-03,113.7531
2015-09-04,114.1594
2015-09-07,0
2015-09-08,114.0856
2015-09-09,114.0645
2015-09-10,114.0034
2015-09-11,114.0977
2015-09-14,113.9223
2015-09-15,113.8717
2015-09-16,113.3136
2015-09-17,113.3081
2015-09-18,113.2249
2015-09-21,113.8432
2015-09-22,114.5144
2015-09-23,115.2275
2015-09-24,115.2276
2015-09-25,114.6967
2015-09-28,114.947
2015-09-29,115.1218
2015-09-30,114.3902
2015-10-01,114.4191
2015-10-02,114.1659
2015-10-05,113.5185
2015-10-06,113.3588
2015-10-07,112.808
2015-10-08,112.6599
2015-10-09,112.0272
2015-10-12,0
2015-10-13,112.6727
2015-10-14,112.5522
2015-10-15,111.9226
2015-10-16,112.0702
