Accuracy Precision Recall Returns
0.3333333333333333 0.35294117647058826 0.8571428571428571 -0.3002331485838068
0.3888888888888889 0.3888888888888889 1.0 -0.17790620320544753
0.3888888888888889 0.3888888888888889 1.0 0.007901293771702313
0.3888888888888889 0.3888888888888889 1.0 0.04304109329344332
0.7222222222222222 0.5 0.2 0.05349225710214342
0.6666666666666666 0.2 0.3333333333333333 0.05219249742669486
0.16666666666666666 0.11764705882352941 1.0 0.03829692821830894
0.8333333333333334 0.0 0.0 0.0
0.7777777777777778 0.0 0.0 0.0
0.7777777777777778 0.0 0.0 0.0
0.1111111111111111 0.125 0.5 0.1290078813632736
0.7222222222222222 0.0 0.0 0.0
0.7222222222222222 0.0 0.0 0.0
0.7222222222222222 0.0 0.0 0.0
0.7222222222222222 0.0 0.0 0.0
