feature,precision
"['Volume', 'ISM_PMI_Actual', '경상수지']",0
"['Volume', 'ISM_PMI_Actual', '상품수지']",1
"['Volume', 'ISM_PMI_Actual', 'BAA']",0
"['Volume', 'ISM_PMI_Actual', 'UNRATE']",0.227272727
"['Volume', 'ISM_PMI_Actual', 'T10Y2YM']",0.285714286
"['Volume', 'ISM_PMI_Actual', 'NEWORDER']",0
"['Volume', 'ISM_PMI_Actual', 'CSUSHPINSA']",0.166666667
"['Volume', 'ISM_PMI_Actual', 'PCE']",0
"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S']",0
"['Volume', 'ISM_PMI_Actual', 'DGORDER']",0
"['Volume', 'ISM_PMI_Actual', 'TWEXBMTH']",0
"['Volume', 'ISM_PMI_Actual', 'UNRATENSA']",0.25
"['Volume', 'ISM_PMI_Actual', 'TCU']",0
"['Volume', 'ISM_PMI_Actual', 'INDPRO']",1
"['Volume', 'ISM_PMI_Actual', 'PPIACO']",0.5
"['Volume', 'ISM_PMI_Actual', 'RMFSL']",0
"['Volume', 'ISM_PMI_Actual', 'CPIAUCSL']",0
"['Volume', 'ISM_PMI_Actual', 'HOUST']",0
"['Volume', 'ISM_PMI_Actual', 'HSN1F']",0
"['Volume', 'ISM_PMI_Actual', 'FEDFUNDS']",0.071428571
"['Volume', 'ISM_PMI_Actual', 'USSLIND']",0
"['Volume', 'ISM_PMI_Actual', 'TOTALSA']",0
"['Volume', 'ISM_PMI_Actual', 'UMCSENT']",0
"['Volume', 'ISM_PMI_Actual', '서울아파트매매가격지수']",0
"['Volume', 'ISM_PMI_Actual', 'AMBNS']",0
"['Volume', 'ISM_PMI_Actual', '자가주거비포함지수']",0
"['Volume', 'ISM_PMI_Actual', '자가주거비']",0
"['Volume', 'ISM_PMI_Actual', '수출물가지수']",0.333333333
"['Volume', 'ISM_PMI_Actual', 'EXJPUS']",0
"['Volume', 'ISM_PMI_Actual', 'EXKOUS']",0.125
"['Volume', 'ISM_PMI_Actual', 'EXCHUS']",0
"['Volume', 'ISM_PMI_Actual', 'XTEXVA01CNM667S']",0
"['Volume', 'ISM_PMI_Actual', '정책금리']",0
"['Volume', 'ISM_PMI_Actual', '통화량']",0
"['Volume', 'ISM_PMI_Actual', 'GACDFSA066MSFRBPHI']",0.2
"['Volume', 'ISM_PMI_Actual', 'XTIMVA01KRM667S']",0
"['Volume', 'ISM_PMI_Actual', 'KORPROINDMISMEI']",0
"['Volume', 'ISM_PMI_Actual', 'KORCPIALLMINMEI']",0
"['Volume', 'ISM_PMI_Actual', 'LRUNTTTTKRM156S']",0
"['Volume', 'ISM_PMI_Actual', '한국실업률']",0.333333333
"['Volume', 'ISM_PMI_Actual', 'IR3TCD01KRM156N']",0
"['Volume', 'ISM_PMI_Actual', '환율평균']",0
"['Volume', '경상수지', '상품수지']",0
"['Volume', '경상수지', 'BAA']",0
"['Volume', '경상수지', 'UNRATE']",0.25
"['Volume', '경상수지', 'T10Y2YM']",0.25
"['Volume', '경상수지', 'NEWORDER']",0
"['Volume', '경상수지', 'CSUSHPINSA']",0.25
"['Volume', '경상수지', 'PCE']",0
"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.222222222
"['Volume', '경상수지', 'DGORDER']",0.333333333
"['Volume', '경상수지', 'TWEXBMTH']",0.25
"['Volume', '경상수지', 'UNRATENSA']",0
"['Volume', '경상수지', 'TCU']",0
"['Volume', '경상수지', 'INDPRO']",0
"['Volume', '경상수지', 'PPIACO']",0
"['Volume', '경상수지', 'RMFSL']",0.2
"['Volume', '경상수지', 'CPIAUCSL']",0
"['Volume', '경상수지', 'HOUST']",0.333333333
"['Volume', '경상수지', 'HSN1F']",0
