DATE,Close
1997-07-01,751.2034753
1997-08-01,742.3328595
1997-09-01,679.379092
1997-10-01,583.5782617
1997-11-01,1168.419002
1997-12-01,1403.406955
1998-01-01,1938.215456
1998-02-01,524.5130051
1998-03-01,523.6704533
1998-04-01,443.785911
1998-05-01,359.1957121
1998-06-01,315.0154557
1998-07-01,329.0139121
1998-08-01,312.2938101
1998-09-01,312.2331805
1998-10-01,350.971362
1998-11-01,795.399045
1998-12-01,1258.686521
1999-01-01,1973.467622
1999-02-01,535.7860063
1999-03-01,583.3443444
1999-04-01,717.7422762
1999-05-01,746.6438017
1999-06-01,841.368633
1999-07-01,971.4322704
1999-08-01,933.0700018
1999-09-01,928.2172657
1999-10-01,828.5757186
1999-11-01,1741.035456
1999-12-01,2655.507383
2000-01-01,3864.530468
2000-02-01,905.8676178
2000-03-01,876.1765216
2000-04-01,785.1299958
2000-05-01,723.9808696
2000-06-01,795.0086364
2000-07-01,795.7385777
2000-08-01,720.9056556
2000-09-01,627.3099948
2000-10-01,549.936808
2000-11-01,1094.023168
2000-12-01,1668.147612
2001-01-01,2110.148255
2001-02-01,593.3984985
2001-03-01,545.4440918
2001-04-01,528.5247613
2001-05-01,599.7173887
2001-06-01,602.6795276
2001-07-01,553.8781821
2001-08-01,568.0595676
2001-09-01,504.0445007
2001-10-01,517.5595597
2001-11-01,1146.005904
2001-12-01,1866.91857
2002-01-01,2441.602605
2002-02-01,769.2039948
2002-03-01,862.5361938
2002-04-01,895.123191
2002-05-01,842.2347837
2002-06-01,787.5045014
2002-07-01,753.9669561
2002-08-01,713.1422729
2002-09-01,703.053804
2002-10-01,642.4791287
2002-11-01,1383.402382
2002-12-01,2016.49636
2003-01-01,2557.950426
2003-02-01,591.561496
2003-03-01,550.7481021
2003-04-01,585.8768172
2003-05-01,612.3240883
2003-06-01,662.180478
2003-07-01,704.0891325
2003-08-01,731.4252379
2003-09-01,745.7231917
2003-10-01,754.6582588
2003-11-01,1656.901999
2003-12-01,2242.002609
2004-01-01,3190.018635
2004-02-01,867.4515015
2004-03-01,875.9191312
2004-04-01,906.4931807
2004-05-01,801.3576195
2004-06-01,771.6118192
2004-07-01,746.0677324
2004-08-01,770.3063687
2004-09-01,835.3954496
2004-10-01,849.1133394
2004-11-01,1673.619096
2004-12-01,2474.908264
2005-01-01,3613.962864
2005-02-01,962.1849945
2005-03-01,989.2334754
2005-04-01,956.7004714
2005-05-01,938.5418118
2005-06-01,990.6431829
2005-07-01,1058.706674
2005-08-01,1103.069129
2005-09-01,1171.158636
2005-10-01,1192.300002
2005-11-01,2391.361811
2005-12-01,3844.045241
2006-01-01,5223.369053
2006-02-01,1341.721985
2006-03-01,1331.719993
2006-04-01,1415.920996
2006-05-01,1385.447132
2006-06-01,1249.19047
2006-07-01,1277.994995
2006-08-01,1316.084545
2006-09-01,1356.526199
2006-10-01,1354.0379
2006-11-01,2573.32226
2006-12-01,4398.46893
2007-01-01,5177.927712
2007-02-01,1434.89421
2007-03-01,1431.760004
2007-04-01,1517.115728
2007-05-01,1614.943342
2007-06-01,1754.284003
2007-07-01,1911.559053
2007-08-01,1815.019997
2007-09-01,1879.033541
2007-10-01,2004.551369
2007-11-01,3929.392268
2007-12-01,6706.577203
2008-01-01,7219.485446
2008-02-01,1689.533895
2008-03-01,1651.154279
2008-04-01,1776.577148
2008-05-01,1844.804543
2008-06-01,1761.700004
2008-07-01,1569.599567
2008-08-01,1539.195231
2008-09-01,1447.989102
2008-10-01,1211.172172
2008-11-01,2466.792984
2008-12-01,3260.945201
2009-01-01,5103.83419
2009-02-01,1139.745483
2009-03-01,1140.454543
2009-04-01,1322.098178
2009-05-01,1400.497899
2009-06-01,1395.243181
2009-07-01,1460.033044
2009-08-01,1577.907134
2009-09-01,1659.446822
2009-10-01,1630.612851
2009-11-01,3213.290469
2009-12-01,4859.927612
2010-01-01,6785.081494
2010-02-01,1598.956325
2010-03-01,1665.504078
2010-04-01,1730.286826
2010-05-01,1648.299997
2010-06-01,1691.208566
2010-07-01,1731.122725
2010-08-01,1762.183644
2010-09-01,1815.74946
2010-10-01,1889.697138
2010-11-01,3728.359081
2010-12-01,5730.863165
2011-01-01,8095.371402
2011-02-01,2003.108822
2011-03-01,2002.669084
2011-04-01,2153.132371
2011-05-01,2121.871967
2011-06-01,2074.64381
2011-07-01,2150.056187
2011-08-01,1869.40772
2011-09-01,1790.949487
2011-10-01,1825.544507
2011-11-01,3518.381381
2011-12-01,5549.153361
2012-01-01,7717.622534
2012-02-01,2003.231422
2012-03-01,2023.407145
2012-04-01,1995.919513
2012-05-01,1886.350946
2012-06-01,1848.599506
2012-07-01,1826.75
2012-08-01,1918.912281
2012-09-01,1961.288977
2012-10-01,1942.193819
2012-11-01,3758.615462
2012-12-01,6567.70501
2013-01-01,7359.680004
2013-02-01,1979.854743
2013-03-01,1990.242999
2013-04-01,1938.884083
2013-05-01,1974.453788
2013-06-01,1884.412617
2013-07-01,1871.768268
2013-08-01,1896.961897
2013-09-01,1984.394457
2013-10-01,2029.675235
2013-11-01,4039.599545
2013-12-01,6229.913532
2014-01-01,8178.133032
2014-02-01,1937.733002
2014-03-01,1952.429531
2014-04-01,1991.191356
2014-05-01,1994.134727
2014-06-01,1995.083695
2014-07-01,2021.952186
2014-08-01,2060.933484
2014-09-01,2042.710539
2014-10-01,1942.802874
2014-11-01,3999.590015
2014-12-01,5751.059053
2015-01-01,7672.051903
2015-02-01,1961.00117
2015-03-01,2012.619096
2015-04-01,2107.268161
2015-05-01,2114.898899
2015-06-01,2063.685907
2015-07-01,2058.03435
2015-08-01,1954.020955
2015-09-01,1939.582501
2015-10-01,2020.567156
2015-11-01,4027.348098
2015-12-01,5998.876674
2016-01-01,8193.471509
2016-02-01,1900.609999
2016-03-01,1976.502736
2016-04-01,1996.170496
2016-05-01,1966.675519
2016-06-01,1977.029512
2016-07-01,2002.482846
2016-08-01,2036.656366
2016-09-01,2042.555266
2016-10-01,2036.032513
2016-11-01,3832.685014
2016-12-01,6036.860479
2017-01-01,8400.452014
2017-02-01,2082.794995
2017-03-01,2136.174549
2017-04-01,2160.182507
2017-05-01,2301.890008
2017-06-01,2372.204287
2017-07-01,2412.899065
2017-08-01,2372.184537
