DATE,XTIMVA01KRM667S
1978-01-01,1037110486
1978-02-01,1040953167
1978-03-01,1050763914
1978-04-01,1084902590
1978-05-01,1115028192
1978-06-01,1151630536
1978-07-01,1237410648
1978-08-01,1329460797
1978-09-01,1366419132
1978-10-01,1504996274
1978-11-01,1550044238
1978-12-01,1483159781
1979-01-01,1385115504
1979-02-01,1574194116
1979-03-01,1569332487
1979-04-01,1530151954
1979-05-01,1802515284
1979-06-01,1810647502
1979-07-01,1645361381
1979-08-01,1846850656
1979-09-01,1825893903
1979-10-01,1659829217
1979-11-01,1766603668
1979-12-01,1860281542
1980-01-01,1728024495
1980-02-01,2002550647
1980-03-01,1918460135
1980-04-01,1838782673
1980-05-01,1801496788
1980-06-01,1689672032
1980-07-01,1982526210
1980-08-01,1878864364
1980-09-01,1642323517
1980-10-01,2021553265
1980-11-01,1768320058
1980-12-01,1979313383
1981-01-01,2015357442
1981-02-01,2212175744
1981-03-01,2141056150
1981-04-01,2248850955
1981-05-01,2164171804
1981-06-01,2117539226
1981-07-01,2364156185
1981-08-01,2183758232
1981-09-01,2072186892
1981-10-01,2089243819
1981-11-01,2017821926
1981-12-01,2421303865
1982-01-01,2082710648
1982-02-01,1943837336
1982-03-01,2022477014
1982-04-01,2142311754
1982-05-01,1731351666
1982-06-01,2042637847
1982-07-01,1901771127
1982-08-01,2060508685
1982-09-01,2237340809
1982-10-01,2005853671
1982-11-01,2129131143
1982-12-01,1953714271
1983-01-01,1945054470
1983-02-01,2267406242
1983-03-01,2143362690
1983-04-01,1771558571
1983-05-01,2038825342
1983-06-01,2140325306
1983-07-01,2108709441
1983-08-01,1927354644
1983-09-01,2323491914
1983-10-01,2659728073
1983-11-01,2324408444
1983-12-01,2547934349
1984-01-01,2667740842
1984-02-01,2404023062
1984-03-01,2515353810
1984-04-01,2591397203
1984-05-01,2695946986
1984-06-01,2765829482
1984-07-01,2632746621
1984-08-01,2700591523
1984-09-01,2601303020
1984-10-01,2467428970
1984-11-01,2326663555
1984-12-01,2323276606
1985-01-01,2552507127
1985-02-01,2244722121
1985-03-01,2266899614
1985-04-01,2444846412
1985-05-01,2608706147
1985-06-01,2461168362
1985-07-01,2396863517
1985-08-01,2480745415
1985-09-01,2540900709
1985-10-01,2631589162
1985-11-01,3102397649
1985-12-01,3289906333
1986-01-01,2901904409
1986-02-01,2864289829
1986-03-01,2544235236
1986-04-01,2557114080
1986-05-01,2554497092
1986-06-01,2534142150
1986-07-01,2641559468
1986-08-01,2655371195
1986-09-01,2620159173
1986-10-01,2583598312
1986-11-01,2609835003
1986-12-01,2902653661
1987-01-01,2493555786
1987-02-01,2977117122
1987-03-01,3064402120
1987-04-01,3276102015
1987-05-01,3582474445
1987-06-01,3448535785
1987-07-01,3558152153
1987-08-01,3612242291
1987-09-01,3786431055
1987-10-01,3467935490
1987-11-01,3820086863
1987-12-01,3819361039
1988-01-01,4055452771
1988-02-01,3901774235
1988-03-01,4022758540
1988-04-01,4206174383
1988-05-01,4094822922
1988-06-01,4186466130
1988-07-01,4577461978
1988-08-01,4814738320
1988-09-01,4454228800
1988-10-01,4626190375
1988-11-01,4484412479
1988-12-01,4461153504
1989-01-01,4751019241
1989-02-01,4635807474
1989-03-01,5046894770
1989-04-01,4893426064
1989-05-01,4783793767
1989-06-01,5199399904
1989-07-01,5253321251
1989-08-01,5764287384
1989-09-01,5199629059
1989-10-01,5431520651
1989-11-01,5327661238
1989-12-01,5263328374
1990-01-01,4858949450
1990-02-01,5655510173
1990-03-01,5750283633
1990-04-01,5327715299
1990-05-01,5661366085
1990-06-01,5452579925
1990-07-01,5420786641
1990-08-01,5651710461
1990-09-01,6559140644
1990-10-01,6105005815
1990-11-01,7297429306
1990-12-01,6125837083
1991-01-01,6312901448
1991-02-01,7196297296
1991-03-01,6715892283
1991-04-01,6783707504
1991-05-01,6820244479
1991-06-01,6691660402
1991-07-01,7001186562
1991-08-01,6710937764
1991-09-01,6763822261
1991-10-01,6994338171
1991-11-01,7285631851
1991-12-01,6374336635
1992-01-01,7616784484
1992-02-01,6921293176
1992-03-01,6939143297
1992-04-01,6704822732
1992-05-01,6907443317
1992-06-01,7099650980
1992-07-01,7030623088
1992-08-01,6372564035
1992-09-01,6322483704
1992-10-01,7262033724
1992-11-01,6349745343
1992-12-01,6332554286
1993-01-01,6763326605
1993-02-01,6956201816
1993-03-01,6778991959
1993-04-01,6718867203
1993-05-01,6942335527
1993-06-01,7386078102
1993-07-01,7204404733
1993-08-01,6770359715
1993-09-01,7240223141
1993-10-01,7147666402
1993-11-01,7065983148
1993-12-01,6895809638
1994-01-01,8051811666
1994-02-01,7187440739
1994-03-01,7844565554
1994-04-01,8050822483
1994-05-01,8312591817
1994-06-01,8143748233
1994-07-01,8524307116
1994-08-01,8664753194
1994-09-01,9079683314
1994-10-01,9256585112
1994-11-01,9322391753
1994-12-01,10014199320
1995-01-01,9377258170
1995-02-01,10594087497
1995-03-01,10991130474
1995-04-01,11274953690
1995-05-01,11426171760
1995-06-01,11656586170
1995-07-01,11577234931
1995-08-01,11641567112
