DATE,KORPROINDMISMEI
1989-01-01,18.9845176883558
1989-02-01,18.899765377247
1989-03-01,19.0692699994645
1989-04-01,18.0734303439369
1989-05-01,19.3023388550135
1989-06-01,19.5777838661169
1989-07-01,19.70491233278
1989-08-01,20.4253069772042
1989-09-01,19.937981188329
1989-10-01,19.7684765661115
1989-11-01,20.0651096549921
1989-12-01,19.9591692661062
1990-01-01,19.7706475539628
1990-02-01,20.2326860571714
1990-03-01,20.7687307275606
1990-04-01,20.7037253104425
1990-05-01,20.3716976414701
1990-06-01,20.7687307275606
1990-07-01,21.434786232186
1990-08-01,21.9708309025752
1990-09-01,21.9058254854571
1990-10-01,21.9058254854571
1990-11-01,21.9708309025752
1990-12-01,22.3678639886657
1991-01-01,22.3028585715476
1991-02-01,22.3678639886657
1991-03-01,22.4328694057838
1991-04-01,22.7008917409784
1991-05-01,22.5708809067422
1991-06-01,22.4968747395616
1991-07-01,23.162930244187
1991-08-01,24.0320026668889
1991-09-01,23.8279856654721
1991-10-01,24.0320026668889
1991-11-01,24.1700141678473
1991-12-01,24.1700141678473
1992-01-01,24.0960080006667
1992-02-01,24.697058088174
1992-03-01,24.697058088174
1992-04-01,24.4290357529794
1992-05-01,24.2350195849654
1992-06-01,24.5680473372781
1992-07-01,24.9650804233686
1992-08-01,24.7620635052921
1992-09-01,24.4290357529794
1992-10-01,24.4290357529794
1992-11-01,24.50304192016
1992-12-01,24.6320526710559
1993-01-01,24.6320526710559
1993-02-01,24.3640303358613
1993-03-01,25.2331027585632
1993-04-01,25.0940911742645
1993-05-01,25.0300858404867
1993-06-01,25.2981081756813
1993-07-01,25.6301358446537
1993-08-01,25.2331027585632
1993-09-01,26.2961913492791
1993-10-01,26.0931744312026
1993-11-01,26.6292191015918
1993-12-01,27.2292691057588
1994-01-01,26.9612467705642
1994-02-01,27.0262521876823
1994-03-01,27.4972914409534
1994-04-01,27.359279939995
1994-05-01,28.2283523626969
1994-06-01,28.6253854487874
1994-07-01,27.5622968580715
1994-08-01,28.2923576964747
1994-09-01,29.2264355362947
1994-10-01,29.6234686223852
1994-11-01,30.2245187098925
1994-12-01,30.0205017084757
1995-01-01,30.6865572131011
1995-02-01,30.5015417951496
1995-03-01,31.4256188015668
1995-04-01,31.5186265522127
1995-05-01,31.0565880490041
1995-06-01,32.1656804733728
1995-07-01,32.1656804733728
1995-08-01,32.3506958913243
1995-09-01,32.0726727227269
1995-10-01,32.2576881406784
1995-11-01,32.4427035586299
1995-12-01,33.1817651470956
1996-01-01,33.08975747979
1996-02-01,33.8288190682557
1996-03-01,33.8288190682557
1996-04-01,34.8459038253188
1996-05-01,34.9379114926244
1996-06-01,33.9218268189016
1996-07-01,34.6608884073673
1996-08-01,34.4758729894158
1996-09-01,34.9379114926244
1996-10-01,34.4758729894158
1996-11-01,34.9379114926244
1996-12-01,35.8629885823819
1997-01-01,33.9218268189016
1997-02-01,35.399949995833
1997-03-01,35.9549962496875
1997-04-01,36.6020501708476
1997-05-01,36.3250270855905
1997-06-01,37.1560963413618
1997-07-01,36.3250270855905
1997-08-01,37.4341195099592
1997-09-01,37.6191349279107
1997-10-01,36.7870655887991
1997-11-01,36.3250270855905
1997-12-01,35.769980831736
1998-01-01,33.7368114009501
1998-02-01,34.0138344862072
1998-03-01,32.6277189765814
1998-04-01,32.2576881406784
1998-05-01,32.6277189765814
1998-06-01,32.1656804733728
1998-07-01,31.5186265522127
1998-08-01,32.8127343945329
1998-09-01,34.6608884073673
1998-10-01,35.4929577464789
1998-11-01,36.8790732561047
1998-12-01,37.4341195099592
1999-01-01,37.1560963413618
1999-02-01,38.6352196016335
1999-03-01,39.2822735227936
1999-04-01,38.9122426868906
1999-05-01,41.0384198683224
1999-06-01,41.3154429535795
1999-07-01,42.6095507958997
1999-08-01,42.6095507958997
1999-09-01,44.7357279773314
1999-10-01,44.827735644637
1999-11-01,46.8619051587632
1999-12-01,46.6768897408117
2000-01-01,47.8109842486874
2000-02-01,48.0170014167847
2000-03-01,48.298024835403
2000-04-01,47.8719893324444
2000-05-01,49.746145512126
2000-06-01,49.2931077589799
2000-07-01,51.0332527710642
2000-08-01,51.887323943662
2000-09-01,51.0352529377448
2000-10-01,50.4022001833486
2000-11-01,49.5511292607717
2000-12-01,48.9140761730144
2001-01-01,48.4180348362364
2001-02-01,48.7390615884657
2001-03-01,48.9760813401117
2001-04-01,49.2891074256188
2001-05-01,49.735144595383
2001-06-01,49.7731477623135
2001-07-01,48.9300775064589
2001-08-01,50.1221768480707
2001-09-01,50.6422201850154
2001-10-01,50.5682140178348
2001-11-01,50.8002333527794
2001-12-01,49.6451370947579
2002-01-01,51.1572631052588
2002-02-01,52.0443370280857
2002-03-01,53.1564297024752
2002-04-01,53.7084757063089
2002-05-01,53.1794316193016
2002-06-01,52.354362863572
2002-07-01,54.0135011250938
2002-08-01,54.560546712226
2002-09-01,54.1595132927744
2002-10-01,54.7955662971914
2002-11-01,55.4276189682474
2002-12-01,56.0646720560047
2003-01-01,54.9365780481707
2003-02-01,55.0175847987332
2003-03-01,55.9836653054421
2003-04-01,55.070589215768
2003-05-01,54.6855571297608
2003-06-01,56.1976831402617
2003-07-01,53.9324943745312
2003-08-01,56.5547128927411
2003-09-01,58.1168430702559
2003-10-01,59.3169430785899
2003-11-01,59.1849320776731
2003-12-01,60.5490457538128
2004-01-01,60.327027252271
2004-02-01,63.0542545212101
2004-03-01,61.9971664305359
2004-04-01,62.4912076006334
2004-05-01,63.2202683556963
2004-06-01,61.5791315942995
2004-07-01,60.9460788399033
