feature,precision
"['Volume', 'ISM_PMI_Actual', '경상수지']",0.222222222
"['Volume', 'ISM_PMI_Actual', '상품수지']",0.333333333
"['Volume', 'ISM_PMI_Actual', 'BAA']",0.166666667
"['Volume', 'ISM_PMI_Actual', 'UNRATE']",0.083333333
"['Volume', 'ISM_PMI_Actual', 'T10Y2YM']",0
"['Volume', 'ISM_PMI_Actual', 'NEWORDER']",0.214285714
"['Volume', 'ISM_PMI_Actual', 'CSUSHPINSA']",0.176470588
"['Volume', 'ISM_PMI_Actual', 'PCE']",0.1875
"['Volume', 'ISM_PMI_Actual', 'LREMTTTTUSM156S']",0.133333333
"['Volume', 'ISM_PMI_Actual', 'DGORDER']",0.285714286
"['Volume', 'ISM_PMI_Actual', 'TWEXBMTH']",0.125
"['Volume', 'ISM_PMI_Actual', 'UNRATENSA']",0.153846154
"['Volume', 'ISM_PMI_Actual', 'TCU']",0.090909091
"['Volume', 'ISM_PMI_Actual', 'INDPRO']",0.125
"['Volume', 'ISM_PMI_Actual', 'PPIACO']",0.111111111
"['Volume', 'ISM_PMI_Actual', 'RMFSL']",0.125
"['Volume', 'ISM_PMI_Actual', 'CPIAUCSL']",0.222222222
"['Volume', 'ISM_PMI_Actual', 'HOUST']",0.173913043
"['Volume', 'ISM_PMI_Actual', 'HSN1F']",0
"['Volume', 'ISM_PMI_Actual', 'FEDFUNDS']",0
"['Volume', 'ISM_PMI_Actual', 'USSLIND']",0
"['Volume', 'ISM_PMI_Actual', 'TOTALSA']",0.153846154
"['Volume', 'ISM_PMI_Actual', 'UMCSENT']",0
"['Volume', 'ISM_PMI_Actual', '서울아파트매매가격지수']",0
"['Volume', 'ISM_PMI_Actual', 'AMBNS']",0.222222222
"['Volume', 'ISM_PMI_Actual', '자가주거비포함지수']",0.214285714
"['Volume', 'ISM_PMI_Actual', '자가주거비']",0.1875
"['Volume', 'ISM_PMI_Actual', '수출물가지수']",0.083333333
"['Volume', 'ISM_PMI_Actual', 'EXJPUS']",0.238095238
"['Volume', 'ISM_PMI_Actual', 'EXKOUS']",0.111111111
"['Volume', 'ISM_PMI_Actual', 'EXCHUS']",0.142857143
"['Volume', 'ISM_PMI_Actual', 'XTEXVA01CNM667S']",0.125
"['Volume', 'ISM_PMI_Actual', '정책금리']",0
"['Volume', 'ISM_PMI_Actual', '통화량']",0.214285714
"['Volume', 'ISM_PMI_Actual', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'ISM_PMI_Actual', 'XTIMVA01KRM667S']",0.285714286
"['Volume', 'ISM_PMI_Actual', 'KORPROINDMISMEI']",0.117647059
"['Volume', 'ISM_PMI_Actual', 'KORCPIALLMINMEI']",0.214285714
"['Volume', 'ISM_PMI_Actual', 'LRUNTTTTKRM156S']",0
"['Volume', 'ISM_PMI_Actual', '한국실업률']",0.125
"['Volume', 'ISM_PMI_Actual', 'IR3TCD01KRM156N']",0.142857143
"['Volume', 'ISM_PMI_Actual', '환율평균']",0.166666667
"['Volume', '경상수지', '상품수지']",0.181818182
"['Volume', '경상수지', 'BAA']",0.333333333
"['Volume', '경상수지', 'UNRATE']",0.230769231
"['Volume', '경상수지', 'T10Y2YM']",0.238095238
"['Volume', '경상수지', 'NEWORDER']",0.176470588
"['Volume', '경상수지', 'CSUSHPINSA']",0.172413793
"['Volume', '경상수지', 'PCE']",0.230769231
"['Volume', '경상수지', 'LREMTTTTUSM156S']",0.1875
"['Volume', '경상수지', 'DGORDER']",0.272727273
"['Volume', '경상수지', 'TWEXBMTH']",0.15
"['Volume', '경상수지', 'UNRATENSA']",0.217391304
"['Volume', '경상수지', 'TCU']",0.2
"['Volume', '경상수지', 'INDPRO']",0.176470588
"['Volume', '경상수지', 'PPIACO']",0.2
"['Volume', '경상수지', 'RMFSL']",0.3
"['Volume', '경상수지', 'CPIAUCSL']",0.194444444
"['Volume', '경상수지', 'HOUST']",0.206896552
"['Volume', '경상수지', 'HSN1F']",0.25
"['Volume', '경상수지', 'FEDFUNDS']",0.212121212
"['Volume', '경상수지', 'USSLIND']",0.066666667
"['Volume', '경상수지', 'TOTALSA']",0.083333333
"['Volume', '경상수지', 'UMCSENT']",0
"['Volume', '경상수지', '서울아파트매매가격지수']",0.153846154
"['Volume', '경상수지', 'AMBNS']",0.222222222
"['Volume', '경상수지', '자가주거비포함지수']",0.230769231
"['Volume', '경상수지', '자가주거비']",0.2
"['Volume', '경상수지', '수출물가지수']",0.1875
"['Volume', '경상수지', 'EXJPUS']",0.269230769
"['Volume', '경상수지', 'EXKOUS']",0
"['Volume', '경상수지', 'EXCHUS']",0.142857143
"['Volume', '경상수지', 'XTEXVA01CNM667S']",0.2
"['Volume', '경상수지', '정책금리']",0.142857143
"['Volume', '경상수지', '통화량']",0.269230769
"['Volume', '경상수지', 'GACDFSA066MSFRBPHI']",0
"['Volume', '경상수지', 'XTIMVA01KRM667S']",0.285714286
"['Volume', '경상수지', 'KORPROINDMISMEI']",0.272727273
"['Volume', '경상수지', 'KORCPIALLMINMEI']",0.230769231
"['Volume', '경상수지', 'LRUNTTTTKRM156S']",0.125
"['Volume', '경상수지', '한국실업률']",0
"['Volume', '경상수지', 'IR3TCD01KRM156N']",0.2
"['Volume', '경상수지', '환율평균']",0.153846154
"['Volume', '상품수지', 'BAA']",0.333333333
"['Volume', '상품수지', 'UNRATE']",0.2
"['Volume', '상품수지', 'T10Y2YM']",0.181818182
"['Volume', '상품수지', 'NEWORDER']",0.357142857
"['Volume', '상품수지', 'CSUSHPINSA']",0.16
"['Volume', '상품수지', 'PCE']",0.181818182
"['Volume', '상품수지', 'LREMTTTTUSM156S']",0.21875
"['Volume', '상품수지', 'DGORDER']",0.19047619
"['Volume', '상품수지', 'TWEXBMTH']",0.181818182
"['Volume', '상품수지', 'UNRATENSA']",0.181818182
"['Volume', '상품수지', 'TCU']",0.142857143
"['Volume', '상품수지', 'INDPRO']",0.090909091
"['Volume', '상품수지', 'PPIACO']",0.214285714
"['Volume', '상품수지', 'RMFSL']",0.181818182
"['Volume', '상품수지', 'CPIAUCSL']",0.25
"['Volume', '상품수지', 'HOUST']",0.214285714
"['Volume', '상품수지', 'HSN1F']",0.181818182
"['Volume', '상품수지', 'FEDFUNDS']",0.277777778
"['Volume', '상품수지', 'USSLIND']",0.210526316
"['Volume', '상품수지', 'TOTALSA']",0.181818182
"['Volume', '상품수지', 'UMCSENT']",0.181818182
"['Volume', '상품수지', '서울아파트매매가격지수']",0.307692308
"['Volume', '상품수지', 'AMBNS']",0.333333333
"['Volume', '상품수지', '자가주거비포함지수']",0.214285714
"['Volume', '상품수지', '자가주거비']",0.230769231
"['Volume', '상품수지', '수출물가지수']",0.166666667
"['Volume', '상품수지', 'EXJPUS']",0.24137931
"['Volume', '상품수지', 'EXKOUS']",0.090909091
"['Volume', '상품수지', 'EXCHUS']",0.157894737
"['Volume', '상품수지', 'XTEXVA01CNM667S']",0.142857143
"['Volume', '상품수지', '정책금리']",0.181818182
"['Volume', '상품수지', '통화량']",0.25
"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0.2
"['Volume', '상품수지', 'XTIMVA01KRM667S']",0.3125
"['Volume', '상품수지', 'KORPROINDMISMEI']",0.166666667
"['Volume', '상품수지', 'KORCPIALLMINMEI']",0.214285714
"['Volume', '상품수지', 'LRUNTTTTKRM156S']",0.285714286
"['Volume', '상품수지', '한국실업률']",0.111111111
"['Volume', '상품수지', 'IR3TCD01KRM156N']",0.181818182
"['Volume', '상품수지', '환율평균']",0.181818182
"['Volume', 'BAA', 'UNRATE']",0.166666667
"['Volume', 'BAA', 'T10Y2YM']",0.333333333
"['Volume', 'BAA', 'NEWORDER']",0.272727273
"['Volume', 'BAA', 'CSUSHPINSA']",0.285714286
"['Volume', 'BAA', 'PCE']",0.285714286
"['Volume', 'BAA', 'LREMTTTTUSM156S']",0.25
"['Volume', 'BAA', 'DGORDER']",0.375
"['Volume', 'BAA', 'TWEXBMTH']",0.333333333
"['Volume', 'BAA', 'UNRATENSA']",0.2
"['Volume', 'BAA', 'TCU']",0.25
"['Volume', 'BAA', 'INDPRO']",0.222222222
"['Volume', 'BAA', 'PPIACO']",0.25
"['Volume', 'BAA', 'RMFSL']",0.285714286
"['Volume', 'BAA', 'CPIAUCSL']",0.384615385
"['Volume', 'BAA', 'HOUST']",0.19047619
"['Volume', 'BAA', 'HSN1F']",0.2
"['Volume', 'BAA', 'FEDFUNDS']",0.210526316
"['Volume', 'BAA', 'USSLIND']",0.166666667
"['Volume', 'BAA', 'TOTALSA']",0.142857143
"['Volume', 'BAA', 'UMCSENT']",0.4
"['Volume', 'BAA', '서울아파트매매가격지수']",0.166666667
"['Volume', 'BAA', 'AMBNS']",0.166666667
"['Volume', 'BAA', '자가주거비포함지수']",0.222222222
"['Volume', 'BAA', '자가주거비']",0.285714286
"['Volume', 'BAA', '수출물가지수']",0.25
"['Volume', 'BAA', 'EXJPUS']",0.333333333
"['Volume', 'BAA', 'EXKOUS']",0.3
"['Volume', 'BAA', 'EXCHUS']",0.4
"['Volume', 'BAA', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', '정책금리']",0.1875
"['Volume', 'BAA', '통화량']",0.285714286
"['Volume', 'BAA', 'GACDFSA066MSFRBPHI']",0.166666667
"['Volume', 'BAA', 'XTIMVA01KRM667S']",0.25
"['Volume', 'BAA', 'KORPROINDMISMEI']",0.25
"['Volume', 'BAA', 'KORCPIALLMINMEI']",0.2
"['Volume', 'BAA', 'LRUNTTTTKRM156S']",0.333333333
"['Volume', 'BAA', '한국실업률']",0
"['Volume', 'BAA', 'IR3TCD01KRM156N']",0.25
"['Volume', 'BAA', '환율평균']",0.285714286
"['Volume', 'UNRATE', 'T10Y2YM']",0.083333333
"['Volume', 'UNRATE', 'NEWORDER']",0.178571429
"['Volume', 'UNRATE', 'CSUSHPINSA']",0.142857143
"['Volume', 'UNRATE', 'PCE']",0.185185185
"['Volume', 'UNRATE', 'LREMTTTTUSM156S']",0.12
"['Volume', 'UNRATE', 'DGORDER']",0.2
"['Volume', 'UNRATE', 'TWEXBMTH']",0.19047619
"['Volume', 'UNRATE', 'UNRATENSA']",0.12
"['Volume', 'UNRATE', 'TCU']",0.117647059
"['Volume', 'UNRATE', 'INDPRO']",0.130434783
"['Volume', 'UNRATE', 'PPIACO']",0.173913043
"['Volume', 'UNRATE', 'RMFSL']",0.105263158
"['Volume', 'UNRATE', 'CPIAUCSL']",0.181818182
"['Volume', 'UNRATE', 'HOUST']",0.2
"['Volume', 'UNRATE', 'HSN1F']",0.172413793
"['Volume', 'UNRATE', 'FEDFUNDS']",0.105263158
"['Volume', 'UNRATE', 'USSLIND']",0.153846154
"['Volume', 'UNRATE', 'TOTALSA']",0.090909091
"['Volume', 'UNRATE', 'UMCSENT']",0.185185185
"['Volume', 'UNRATE', '서울아파트매매가격지수']",0.171428571
"['Volume', 'UNRATE', 'AMBNS']",0.172413793
"['Volume', 'UNRATE', '자가주거비포함지수']",0.15
"['Volume', 'UNRATE', '자가주거비']",0.178571429
"['Volume', 'UNRATE', '수출물가지수']",0.095238095
"['Volume', 'UNRATE', 'EXJPUS']",0.185185185
"['Volume', 'UNRATE', 'EXKOUS']",0.1
"['Volume', 'UNRATE', 'EXCHUS']",0.161290323
"['Volume', 'UNRATE', 'XTEXVA01CNM667S']",0.125
"['Volume', 'UNRATE', '정책금리']",0.129032258
"['Volume', 'UNRATE', '통화량']",0.142857143
"['Volume', 'UNRATE', 'GACDFSA066MSFRBPHI']",0.2
"['Volume', 'UNRATE', 'XTIMVA01KRM667S']",0.133333333
"['Volume', 'UNRATE', 'KORPROINDMISMEI']",0.133333333
"['Volume', 'UNRATE', 'KORCPIALLMINMEI']",0.153846154
"['Volume', 'UNRATE', 'LRUNTTTTKRM156S']",0.111111111
"['Volume', 'UNRATE', '한국실업률']",0.15
"['Volume', 'UNRATE', 'IR3TCD01KRM156N']",0.210526316
"['Volume', 'UNRATE', '환율평균']",0.115384615
"['Volume', 'T10Y2YM', 'NEWORDER']",0.111111111
"['Volume', 'T10Y2YM', 'CSUSHPINSA']",0.086956522
"['Volume', 'T10Y2YM', 'PCE']",0.1
"['Volume', 'T10Y2YM', 'LREMTTTTUSM156S']",0.107142857
"['Volume', 'T10Y2YM', 'DGORDER']",0.208333333
"['Volume', 'T10Y2YM', 'TWEXBMTH']",0.142857143
"['Volume', 'T10Y2YM', 'UNRATENSA']",0.08
"['Volume', 'T10Y2YM', 'TCU']",0.1
"['Volume', 'T10Y2YM', 'INDPRO']",0.043478261
"['Volume', 'T10Y2YM', 'PPIACO']",0.142857143
"['Volume', 'T10Y2YM', 'RMFSL']",0.090909091
"['Volume', 'T10Y2YM', 'CPIAUCSL']",0.176470588
"['Volume', 'T10Y2YM', 'HOUST']",0.153846154
"['Volume', 'T10Y2YM', 'HSN1F']",0.083333333
"['Volume', 'T10Y2YM', 'FEDFUNDS']",0.111111111
"['Volume', 'T10Y2YM', 'USSLIND']",0.083333333
"['Volume', 'T10Y2YM', 'TOTALSA']",0.111111111
"['Volume', 'T10Y2YM', 'UMCSENT']",0
"['Volume', 'T10Y2YM', '서울아파트매매가격지수']",0.194444444
"['Volume', 'T10Y2YM', 'AMBNS']",0.137931034
"['Volume', 'T10Y2YM', '자가주거비포함지수']",0.1
"['Volume', 'T10Y2YM', '자가주거비']",0.095238095
"['Volume', 'T10Y2YM', '수출물가지수']",0.086956522
"['Volume', 'T10Y2YM', 'EXJPUS']",0.178571429
"['Volume', 'T10Y2YM', 'EXKOUS']",0.1
"['Volume', 'T10Y2YM', 'EXCHUS']",0.130434783
"['Volume', 'T10Y2YM', 'XTEXVA01CNM667S']",0.095238095
"['Volume', 'T10Y2YM', '정책금리']",0.103448276
"['Volume', 'T10Y2YM', '통화량']",0.083333333
"['Volume', 'T10Y2YM', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'T10Y2YM', 'XTIMVA01KRM667S']",0.15
"['Volume', 'T10Y2YM', 'KORPROINDMISMEI']",0.151515152
"['Volume', 'T10Y2YM', 'KORCPIALLMINMEI']",0.090909091
"['Volume', 'T10Y2YM', 'LRUNTTTTKRM156S']",0.111111111
"['Volume', 'T10Y2YM', '한국실업률']",0.142857143
"['Volume', 'T10Y2YM', 'IR3TCD01KRM156N']",0.208333333
"['Volume', 'T10Y2YM', '환율평균']",0.066666667
"['Volume', 'NEWORDER', 'CSUSHPINSA']",0.15625
"['Volume', 'NEWORDER', 'PCE']",0
"['Volume', 'NEWORDER', 'LREMTTTTUSM156S']",0.1875
"['Volume', 'NEWORDER', 'DGORDER']",0.153846154
"['Volume', 'NEWORDER', 'TWEXBMTH']",0.076923077
"['Volume', 'NEWORDER', 'UNRATENSA']",0.193548387
"['Volume', 'NEWORDER', 'TCU']",0.142857143
"['Volume', 'NEWORDER', 'INDPRO']",0
"['Volume', 'NEWORDER', 'PPIACO']",0.235294118
"['Volume', 'NEWORDER', 'RMFSL']",0.222222222
"['Volume', 'NEWORDER', 'CPIAUCSL']",0.178571429
"['Volume', 'NEWORDER', 'HOUST']",0.193548387
"['Volume', 'NEWORDER', 'HSN1F']",0.148148148
"['Volume', 'NEWORDER', 'FEDFUNDS']",0.2
"['Volume', 'NEWORDER', 'USSLIND']",0.176470588
"['Volume', 'NEWORDER', 'TOTALSA']",0
"['Volume', 'NEWORDER', 'UMCSENT']",0
"['Volume', 'NEWORDER', '서울아파트매매가격지수']",0.2
"['Volume', 'NEWORDER', 'AMBNS']",0.117647059
"['Volume', 'NEWORDER', '자가주거비포함지수']",0.166666667
"['Volume', 'NEWORDER', '자가주거비']",0.066666667
"['Volume', 'NEWORDER', '수출물가지수']",0
"['Volume', 'NEWORDER', 'EXJPUS']",0.206896552
"['Volume', 'NEWORDER', 'EXKOUS']",0.125
"['Volume', 'NEWORDER', 'EXCHUS']",0.181818182
"['Volume', 'NEWORDER', 'XTEXVA01CNM667S']",0.176470588
"['Volume', 'NEWORDER', '정책금리']",0.090909091
"['Volume', 'NEWORDER', '통화량']",0.142857143
"['Volume', 'NEWORDER', 'GACDFSA066MSFRBPHI']",0.142857143
"['Volume', 'NEWORDER', 'XTIMVA01KRM667S']",0.266666667
"['Volume', 'NEWORDER', 'KORPROINDMISMEI']",0.148148148
"['Volume', 'NEWORDER', 'KORCPIALLMINMEI']",0.117647059
"['Volume', 'NEWORDER', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'NEWORDER', '한국실업률']",0.133333333
"['Volume', 'NEWORDER', 'IR3TCD01KRM156N']",0.1875
"['Volume', 'NEWORDER', '환율평균']",0.173913043
"['Volume', 'CSUSHPINSA', 'PCE']",0.15625
"['Volume', 'CSUSHPINSA', 'LREMTTTTUSM156S']",0.142857143
"['Volume', 'CSUSHPINSA', 'DGORDER']",0.192307692
"['Volume', 'CSUSHPINSA', 'TWEXBMTH']",0.151515152
"['Volume', 'CSUSHPINSA', 'UNRATENSA']",0.083333333
