feature,precision
"['Volume', '상품수지', 'AMBNS']",0.1
"['Volume', '상품수지', '자가주거비포함지수']",0.181818182
"['Volume', '상품수지', '자가주거비']",0.230769231
"['Volume', '상품수지', '수출물가지수']",0.076923077
"['Volume', '상품수지', 'EXJPUS']",0.214285714
"['Volume', '상품수지', 'EXKOUS']",0.111111111
"['Volume', '상품수지', 'EXCHUS']",0.117647059
"['Volume', '상품수지', 'XTEXVA01CNM667S']",0.166666667
"['Volume', '상품수지', '정책금리']",0.181818182
"['Volume', '상품수지', '통화량']",0.230769231
"['Volume', '상품수지', 'GACDFSA066MSFRBPHI']",0
"['Volume', '상품수지', 'XTIMVA01KRM667S']",0.166666667
"['Volume', '상품수지', 'KORPROINDMISMEI']",0.166666667
"['Volume', '상품수지', 'KORCPIALLMINMEI']",0.181818182
"['Volume', '상품수지', 'LRUNTTTTKRM156S']",0.1
"['Volume', '상품수지', '한국실업률']",0.272727273
"['Volume', '상품수지', 'IR3TCD01KRM156N']",0.181818182
"['Volume', '상품수지', '환율평균']",0.272727273
"['Volume', 'BAA', 'UNRATE']",0
"['Volume', 'BAA', 'T10Y2YM']",0.25
"['Volume', 'BAA', 'NEWORDER']",0.333333333
"['Volume', 'BAA', 'CSUSHPINSA']",0.333333333
"['Volume', 'BAA', 'PCE']",0.222222222
"['Volume', 'BAA', 'LREMTTTTUSM156S']",0.25
"['Volume', 'BAA', 'DGORDER']",0.375
"['Volume', 'BAA', 'TWEXBMTH']",0.333333333
"['Volume', 'BAA', 'UNRATENSA']",0.333333333
"['Volume', 'BAA', 'TCU']",0.5
"['Volume', 'BAA', 'INDPRO']",0.375
"['Volume', 'BAA', 'PPIACO']",0.25
"['Volume', 'BAA', 'RMFSL']",0.2
"['Volume', 'BAA', 'CPIAUCSL']",0.333333333
"['Volume', 'BAA', 'HOUST']",0.4
"['Volume', 'BAA', 'HSN1F']",0.4
"['Volume', 'BAA', 'FEDFUNDS']",0.285714286
"['Volume', 'BAA', 'USSLIND']",0.166666667
"['Volume', 'BAA', 'TOTALSA']",0.333333333
"['Volume', 'BAA', 'UMCSENT']",0.333333333
"['Volume', 'BAA', '서울아파트매매가격지수']",0.5
"['Volume', 'BAA', 'AMBNS']",0.166666667
"['Volume', 'BAA', '자가주거비포함지수']",0.285714286
"['Volume', 'BAA', '자가주거비']",0.25
"['Volume', 'BAA', '수출물가지수']",0.375
"['Volume', 'BAA', 'EXJPUS']",0.285714286
"['Volume', 'BAA', 'EXKOUS']",0.222222222
"['Volume', 'BAA', 'EXCHUS']",0.4
"['Volume', 'BAA', 'XTEXVA01CNM667S']",0.333333333
"['Volume', 'BAA', '정책금리']",0.25
"['Volume', 'BAA', '통화량']",0.285714286
"['Volume', 'BAA', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'XTIMVA01KRM667S']",0.4
"['Volume', 'BAA', 'KORPROINDMISMEI']",0.272727273
"['Volume', 'BAA', 'KORCPIALLMINMEI']",0.166666667
"['Volume', 'BAA', 'LRUNTTTTKRM156S']",0.333333333
"['Volume', 'BAA', '한국실업률']",0.2
"['Volume', 'BAA', 'IR3TCD01KRM156N']",0.222222222
"['Volume', 'BAA', '환율평균']",0.333333333
"['Volume', 'UNRATE', 'T10Y2YM']",0
"['Volume', 'UNRATE', 'NEWORDER']",0.133333333
"['Volume', 'UNRATE', 'CSUSHPINSA']",0
"['Volume', 'UNRATE', 'PCE']",0.173913043
"['Volume', 'UNRATE', 'LREMTTTTUSM156S']",0
"['Volume', 'UNRATE', 'DGORDER']",0
"['Volume', 'UNRATE', 'TWEXBMTH']",0
"['Volume', 'UNRATE', 'UNRATENSA']",0
"['Volume', 'UNRATE', 'TCU']",0.071428571
"['Volume', 'UNRATE', 'INDPRO']",0.090909091
"['Volume', 'UNRATE', 'PPIACO']",0.133333333
"['Volume', 'UNRATE', 'RMFSL']",0
"['Volume', 'UNRATE', 'CPIAUCSL']",0.176470588
"['Volume', 'UNRATE', 'HOUST']",0
"['Volume', 'UNRATE', 'HSN1F']",0
"['Volume', 'UNRATE', 'FEDFUNDS']",0
"['Volume', 'UNRATE', 'USSLIND']",0
"['Volume', 'UNRATE', 'TOTALSA']",0
"['Volume', 'UNRATE', 'UMCSENT']",0
"['Volume', 'UNRATE', '서울아파트매매가격지수']",0.171428571
"['Volume', 'UNRATE', 'AMBNS']",0.090909091
"['Volume', 'UNRATE', '자가주거비포함지수']",0.1
"['Volume', 'UNRATE', '자가주거비']",0.142857143
"['Volume', 'UNRATE', '수출물가지수']",0
"['Volume', 'UNRATE', 'EXJPUS']",0
"['Volume', 'UNRATE', 'EXKOUS']",0.111111111
"['Volume', 'UNRATE', 'EXCHUS']",0.090909091
"['Volume', 'UNRATE', 'XTEXVA01CNM667S']",0.083333333
"['Volume', 'UNRATE', '정책금리']",0.12
"['Volume', 'UNRATE', '통화량']",0.153846154
"['Volume', 'UNRATE', 'GACDFSA066MSFRBPHI']",0.166666667
"['Volume', 'UNRATE', 'XTIMVA01KRM667S']",0.076923077
"['Volume', 'UNRATE', 'KORPROINDMISMEI']",0.2
