DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,HM3UP
1998-04-01,482.880005,498.709991,399.480011,421.220001,421.220001,13619000,0,1
1998-05-01,401.529999,401.529999,301.220001,336.630005,336.630005,115691900,0,0
1998-06-01,334.100006,353.290009,277.369995,297.880005,297.880005,152192200,1,1
1998-07-01,298.01001,374.079987,298.01001,343.329987,343.329987,205699700,1,1
1998-08-01,336.119995,338.709991,288.059998,310.160004,310.160004,163895900,0,0
1998-09-01,309.73999,338.950012,287.459991,310.320007,310.320007,158434000,1,1
1998-10-01,309.519989,394.589996,302.709991,384.75,384.75,178230100,1,1
1998-11-01,406.970001,467.130005,393.980011,451.880005,451.880005,384957300,1,1
1998-12-01,451.850006,599.320007,438.420013,562.460022,562.460022,531371200,1,1
1999-01-01,575.409973,651.950012,531.200012,571.429993,571.429993,502515700,1,1
1999-02-01,572.950012,583.26001,489.75,520.059998,520.059998,238667400,0,0
1999-03-01,524.97998,622.909973,524.940002,618.97998,618.97998,411210700,1,1
1999-04-01,618.340027,806.409973,616.840027,752.590027,752.590027,667774300,1,1
1999-05-01,757.599976,826.039978,690.039978,736.02002,736.02002,503788300,1,1
1999-06-01,733.280029,909.330017,728.340027,883,883,527162900,1,1
1999-07-01,894.400024,1052.599976,860.130005,969.719971,969.719971,833740500,1,1
1999-08-01,967.700012,995.080017,841.27002,937.880005,937.880005,664511900,0,0
1999-09-01,944.5,984.570007,836.179993,836.179993,836.179993,540929500,1,1
1999-10-01,838.650024,877.059998,778.900024,833.51001,833.51001,591683600,1,1
1999-11-01,863.5,1024.089966,857.090027,996.659973,996.659973,857831800,1,1
1999-12-01,992.619995,1038.040039,934.219971,1028.069946,1028.069946,599985600,1,1
2000-01-01,1028.329956,1066.180054,875.820007,943.880005,943.880005,479837900,0,1
2000-02-01,955.440002,991.710022,810.530029,828.380005,828.380005,514464500,0,1
2000-03-01,864.780029,928.549988,820.299988,860.940002,860.940002,656199700,1,1
2000-04-01,866.75,880.409973,688.359985,725.390015,725.390015,408673300,0,0
2000-05-01,731.76001,778.460022,625.140015,731.880005,731.880005,494033700,1,1
2000-06-01,730.549988,858.340027,722.23999,821.219971,821.219971,878421300,1,1
2000-07-01,824.830017,863.530029,678.349976,705.969971,705.969971,875860400,1,1
2000-08-01,710.049988,754.460022,665.630005,688.619995,688.619995,602661600,1,1
2000-09-01,690.929993,698.280029,551,613.219971,613.219971,546243900,0,0
2000-10-01,595.679993,616.219971,483.579987,514.47998,514.47998,667144800,0,1
2000-11-01,524.690002,581.469971,499.519989,509.230011,509.230011,734927800,1,1
2000-12-01,490.880005,560.159973,489.529999,504.619995,504.619995,519927500,1,1
2001-01-01,503.309998,627.450012,500.970001,617.909973,617.909973,950774900,1,1
2001-02-01,606.48999,620.780029,571.039978,578.099976,578.099976,751303000,0,0
2001-03-01,574.609985,579.280029,516.969971,523.219971,523.219971,784162700,0,0
2001-04-01,520.559998,581.630005,491.209991,577.359985,577.359985,708481600,1,1
2001-05-01,586.27002,633.159973,572.359985,612.159973,612.159973,1180550800,1,1
2001-06-01,615.669983,623.369995,580.75,595.130005,595.130005,714870200,0,0
2001-07-01,593.030029,600.51001,512.780029,541.549988,541.549988,5648800,0,0
2001-08-01,546.299988,585.359985,542,545.109985,545.109985,9651600,1,1
2001-09-01,545.02002,559.169983,463.540009,479.679993,479.679993,7337300,0,0
2001-10-01,498.869995,550.929993,493.119995,537.809998,537.809998,9878600,1,1
2001-11-01,540.630005,680.909973,536.200012,643.890015,643.890015,16017000,1,1
2001-12-01,643.609985,715.929993,631.869995,693.700012,693.700012,11598800,1,1
2002-01-01,698,787.650024,690.359985,748.070007,748.070007,15760200,1,1
2002-02-01,757.070007,826.599976,718.859985,819.98999,819.98999,10888200,1,1
2002-03-01,842.210022,914.929993,815.539978,895.580017,895.580017,12552200,1,1
2002-04-01,900.469971,943.539978,829.159973,842.340027,842.340027,14740200,1,1
2002-05-01,855.409973,878.679993,794.919983,796.400024,796.400024,15248400,0,0
2002-06-01,793.530029,832.26001,699.150024,742.719971,742.719971,12999000,1,1
2002-07-01,722.580017,807.359985,688.679993,717.98999,717.98999,30545600,1,1
2002-08-01,720.98999,753.5,660.940002,736.400024,736.400024,23261600,1,1
2002-09-01,739.840027,755.440002,639.73999,646.419983,646.419983,13634400,0,0
2002-10-01,637.809998,682.809998,576.48999,658.919983,658.919983,22418200,1,1
2002-11-01,652.340027,725.599976,643.390015,724.799988,724.799988,20580200,1,1
2002-12-01,724.98999,737.700012,613.76001,627.549988,627.549988,15688200,0,0
2003-01-01,633.030029,679.299988,581.130005,591.859985,591.859985,12593000,1,1
2003-02-01,591.880005,619.450012,561.690002,575.429993,575.429993,11616400,1,1
2003-03-01,578.5,590.549988,512.299988,535.700012,535.700012,14941800,0,0
2003-04-01,529.070007,627.5,525.51001,599.349976,599.349976,15513600,1,1
2003-05-01,600.469971,637.190002,582.869995,633.419983,633.419983,9592800,1,1
2003-06-01,643.929993,690.700012,632.469971,669.929993,669.929993,9797600,1,1
2003-07-01,666.450012,724.530029,663.349976,713.52002,713.52002,12007600,1,1
2003-08-01,718.840027,765.27002,693.700012,759.469971,759.469971,9216200,1,1
2003-09-01,763.219971,775.880005,688.070007,697.52002,697.52002,8046800,0,0
2003-10-01,690.469971,793.349976,688.619995,782.359985,782.359985,10160000,1,1
2003-11-01,783.080017,818.340027,752.140015,796.179993,796.179993,11214000,1,1
2003-12-01,796.359985,824.26001,774.039978,810.710022,810.710022,9176200,0,1
2004-01-01,816.26001,873.609985,813.630005,848.5,848.5,371718300,1,1
2004-02-01,850.280029,890.51001,834.700012,883.419983,883.419983,9659800,1,1
2004-03-01,892.570007,910.669983,822.049988,880.5,880.5,9651600,0,0
2004-04-01,878.780029,939.52002,854.390015,862.840027,862.840027,415529800,1,1
2004-05-01,863.030029,876.299988,716.950012,803.840027,803.840027,6751000,0,0
2004-06-01,807.549988,820.869995,729.059998,785.789978,785.789978,8415600,0,0
2004-07-01,784.849976,792.77002,717.77002,735.340027,735.340027,7889400,0,0
2004-08-01,730.609985,815.049988,713.98999,803.570007,803.570007,6940000,1,1
2004-09-01,803.51001,863.190002,801.580017,835.090027,835.090027,7206200,1,1
2004-10-01,835.5,896.23999,801.01001,834.840027,834.840027,6806800,1,1
2004-11-01,832.52002,891.710022,831.320007,878.059998,878.059998,6406600,1,1
2004-12-01,874.469971,896.099976,838.099976,895.919983,895.919983,6710000,0,0
2005-01-01,896,934.099976,866.169983,932.700012,932.700012,8288400,1,1
2005-02-01,930.159973,1011.650024,918.440002,1011.359985,1011.359985,8563600,1,1
2005-03-01,1015.159973,1025.079956,946.409973,965.679993,965.679993,13025200,0,0
2005-04-01,963.780029,996.900024,902.880005,911.299988,911.299988,8541200,0,1
2005-05-01,916.47998,972.169983,910.719971,970.210022,970.210022,6671000,1,1
2005-06-01,964.080017,1010.909973,963.780029,1008.159973,1008.159973,8515400,1,1
2005-07-01,1003.559998,1113.430054,1002.380005,1111.290039,1111.290039,13622800,1,1
2005-08-01,1113.900024,1137.459961,1055.540039,1083.329956,1083.329956,9665400,0,0
2005-09-01,1093.469971,1238.719971,1092.140015,1221.01001,1221.01001,9192800,1,1
