DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D
1971-02-01,100,102.190002,99.68,101.339996,101.339996,0,0,0
1971-03-01,101.779999,105.970001,101.779999,105.970001,105.970001,0,1,0
1971-04-01,106.339996,112.459999,106.339996,112.300003,112.300003,0,1,0
1971-05-01,111.349998,111.769997,107.5,108.25,108.25,0,0,0
1971-06-01,108.870003,110.760002,105.489998,107.800003,107.800003,0,0,0
1971-07-01,108.470001,111.239998,105.269997,105.269997,105.269997,0,0,0
1971-08-01,105.589996,109.300003,103.040001,108.419998,108.419998,0,0,0
1971-09-01,108.650002,110.580002,108.18,109.029999,109.029999,0,0,0
1971-10-01,109.580002,110.980003,104.279999,105.099998,105.099998,0,0,1
1971-11-01,103.690002,105.720001,100.309998,103.970001,103.970001,0,0,0
1971-12-01,105,114.120003,105,114.120003,114.120003,0,1,0
1972-01-01,113.650002,118.870003,113.650002,118.870003,118.870003,0,1,0
1972-02-01,119.580002,125.379997,119.580002,125.379997,125.379997,0,1,0
1972-03-01,126.290001,128.850006,125.730003,128.139999,128.139999,0,0,0
1972-04-01,128.059998,134.100006,128.059998,131.330002,131.330002,0,1,0
1972-05-01,130.160004,133.949997,125.779999,132.529999,132.529999,0,0,0
1972-06-01,133.130005,133.520004,129.309998,130.080002,130.080002,0,0,0
1972-07-01,130.589996,131.860001,127.089996,127.75,127.75,0,0,0
1972-08-01,128.449997,131.699997,128.449997,129.949997,129.949997,0,0,0
1972-09-01,130.699997,130.699997,126.82,129.610001,129.610001,0,0,0
1972-10-01,129.300003,130.240005,125.870003,130.240005,130.240005,0,0,0
1972-11-01,131.589996,133.580002,131.589996,132.960007,132.960007,0,0,0
1972-12-01,133.940002,135.149994,131.080002,133.729996,133.729996,0,0,0
1973-01-01,134.630005,136.839996,128.220001,128.399994,128.399994,0,0,1
1973-02-01,126.940002,127.190002,119.800003,120.410004,120.410004,0,0,1
1973-03-01,119.529999,122.279999,115.470001,117.459999,117.459999,0,0,0
1973-04-01,115.790001,115.790001,107.849998,107.849998,107.849998,0,0,1
1973-05-01,107.959999,110.889999,100.760002,102.639999,102.639999,0,0,1
1973-06-01,102.300003,104.790001,99.43,100.980003,100.980003,0,0,0
1973-07-01,100.150002,109.360001,99.389999,108.639999,108.639999,0,1,0
1973-08-01,107.129997,107.300003,101.339996,104.870003,104.870003,0,0,1
1973-09-01,105.5,111.269997,105.330002,111.199997,111.199997,0,1,0
1973-10-01,110.970001,114.099998,110.169998,110.169998,110.169998,0,0,0
1973-11-01,109.620003,109.620003,93.07,93.510002,93.510002,0,0,1
1973-12-01,91.970001,93.540001,88.669998,92.190002,92.190002,0,0,0
1974-01-01,92.529999,95.949997,91.419998,94.93,94.93,0,0,0
1974-02-01,94.150002,94.349998,90.080002,94.349998,94.349998,0,0,1
1974-03-01,94.050003,96.529999,92.269997,92.269997,92.269997,0,0,0
1974-04-01,91.900002,92.129997,86.040001,86.860001,86.860001,0,0,1
1974-05-01,87.629997,87.970001,79.779999,80.199997,80.199997,0,0,1
1974-06-01,81.080002,83.919998,75.959999,75.959999,75.959999,0,0,1
1974-07-01,75.389999,75.389999,69.82,69.989998,69.989998,0,0,1
1974-08-01,69.629997,71.68,61.369999,62.369999,62.369999,0,0,1
1974-09-01,60.880001,60.880001,55.669998,55.669998,55.669998,0,0,1
1974-10-01,55.48,65.230003,54.869999,65.230003,65.230003,0,1,0
1974-11-01,65.059998,66.720001,60.75,62.950001,62.950001,0,0,1
1974-12-01,61.66,61.66,57.860001,59.82,59.82,0,0,1
1975-01-01,60.700001,69.779999,60.700001,69.779999,69.779999,0,1,0
1975-02-01,70.730003,73.790001,70.129997,73,73,0,1,0
1975-03-01,73.830002,76.269997,73.830002,75.660004,75.660004,0,0,0
1975-04-01,75.419998,79.080002,74.339996,78.540001,78.540001,0,1,0
1975-05-01,79.269997,83.099998,79.269997,83.099998,83.099998,0,1,0
1975-06-01,83.879997,87.019997,82.989998,87.019997,87.019997,0,0,0
1975-07-01,86.330002,88,82.669998,83.190002,83.190002,0,0,1
1975-08-01,81.620003,81.620003,75.519997,79.010002,79.010002,0,0,1
1975-09-01,77.889999,78.129997,73.779999,74.330002,74.330002,0,0,1
1975-10-01,73.800003,78.910004,73.800003,76.989998,76.989998,0,1,0
1975-11-01,76.620003,79.269997,76.620003,78.800003,78.800003,0,0,0
1975-12-01,78.660004,78.660004,74.519997,77.620003,77.620003,0,0,1
1976-01-01,78.059998,87.050003,78.059998,87.050003,87.050003,0,1,0
1976-02-01,87.279999,92.089996,87.25,90.260002,90.260002,0,1,0
1976-03-01,90.25,91.209999,89.470001,90.620003,90.620003,0,0,0
1976-04-01,90.440002,91.550003,88.599998,90.080002,90.080002,0,0,0
1976-05-01,89.050003,90.639999,87.779999,88.040001,88.040001,0,0,0
1976-06-01,87.809998,90.32,86.949997,90.32,90.32,0,0,0
1976-07-01,90.279999,92.519997,90.279999,91.290001,91.290001,0,0,0
1976-08-01,91.269997,92.010002,89.129997,89.699997,89.699997,0,0,0
1976-09-01,90.589996,92.440002,90.529999,91.260002,91.260002,0,0,0
1976-10-01,90.440002,90.459999,88.730003,90.349998,90.349998,0,0,0
1976-11-01,90.389999,91.419998,87.82,91.120003,91.120003,0,0,0
